Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
300825.SZ,阿尔特,汽车,一级行业
300850.SZ,新强联,电力设备,一级行业
300848.SZ,美瑞新材,基础化工,一级行业
300831.SZ,ST派瑞,电子,一级行业
300819.SZ,聚杰微纤,纺织服饰,一级行业
300815.SZ,玉禾田,环保,一级行业
300812.SZ,易天股份,电子,一级行业
300835.SZ,龙磁科技,有色金属,一级行业
300839.SZ,博汇股份,石油石化,一级行业
300806.SZ,斯迪克,基础化工,一级行业
300829.SZ,金丹科技,基础化工,一级行业
300844.SZ,山水比德,建筑装饰,一级行业
300840.SZ,酷特智能,纺织服饰,一级行业
300821.SZ,东岳硅材,基础化工,一级行业
300826.SZ,测绘股份,建筑装饰,一级行业
300853.SZ,申昊科技,电力设备,一级行业
300847.SZ,中船汉光,计算机,一级行业
300832.SZ,新产业,医药生物,一级行业
300816.SZ,艾可蓝,汽车,一级行业
300811.SZ,铂科新材,有色金属,一级行业
300836.SZ,佰奥智能,机械设备,一级行业
300809.SZ,华辰装备,机械设备,一级行业
300843.SZ,胜蓝股份,电子,一级行业
300805.SZ,电声股份,传媒,一级行业
300822.SZ,贝仕达克,电子,一级行业
300823.SZ,建科智能,机械设备,一级行业
300827.SZ,上能电气,电力设备,一级行业
300852.SZ,四会富仕,电子,一级行业
300846.SZ,首都在线,计算机,一级行业
300817.SZ,双飞集团,机械设备,一级行业
300833.SZ,浩洋股份,机械设备,一级行业
300810.SZ,中科海讯,国防军工,一级行业
300837.SZ,浙矿股份,机械设备,一级行业
300814.SZ,中富电路,电子,一级行业
300808.SZ,久量股份,电子,一级行业
300842.SZ,帝科股份,电力设备,一级行业
300804.SZ,广康生化,基础化工,一级行业
300851.SZ,交大思诺,机械设备,一级行业
300824.SZ,北鼎股份,家用电器,一级行业
300828.SZ,锐新科技,机械设备,一级行业
300845.SZ,捷安高科,计算机,一级行业
300849.SZ,锦盛新材,美容护理,一级行业
300818.SZ,耐普矿机,机械设备,一级行业
300830.SZ,金现代,计算机,一级行业
300813.SZ,泰林生物,机械设备,一级行业
300834.SZ,星辉环材,基础化工,一级行业
300838.SZ,浙江力诺,机械设备,一级行业
300807.SZ,天迈科技,计算机,一级行业
300841.SZ,康华生物,医药生物,一级行业
300820.SZ,英杰电气,电力设备,一级行业
