Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002549.SZ,凯美特气,基础化工,一级行业
002550.SZ,千红制药,医药生物,一级行业
002548.SZ,金新农,农林牧渔,一级行业
002547.SZ,*ST春兴,汽车,一级行业
002532.SZ,天山铝业,有色金属,一级行业
002534.SZ,西子洁能,电力设备,一级行业
002535.SZ,林州重机,机械设备,一级行业
002533.SZ,金杯电工,电力设备,一级行业
002531.SZ,天顺风能,电力设备,一级行业
002537.SZ,海联金汇,汽车,一级行业
002536.SZ,飞龙股份,汽车,一级行业
002539.SZ,云图控股,基础化工,一级行业
002538.SZ,ST司特,基础化工,一级行业
002544.SZ,普天科技,通信,一级行业
002543.SZ,万和电气,家用电器,一级行业
002545.SZ,东方铁塔,基础化工,一级行业
002546.SZ,新联电子,电力设备,一级行业
002541.SZ,鸿路钢构,建筑装饰,一级行业
002542.SZ,*ST中岩,建筑装饰,一级行业
002540.SZ,亚太科技,有色金属,一级行业
