Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
301138.SZ,华研精机,机械设备,一级行业
301163.SZ,宏德股份,电力设备,一级行业
301167.SZ,建研设计,建筑装饰,一级行业
301182.SZ,凯旺科技,计算机,一级行业
301176.SZ,逸豪新材,电子,一级行业
301130.SZ,西点药业,医药生物,一级行业
301128.SZ,强瑞技术,机械设备,一级行业
301153.SZ,中科江南,计算机,一级行业
301172.SZ,君逸数码,计算机,一级行业
301157.SZ,华塑科技,电力设备,一级行业
301139.SZ,*ST元道,通信,一级行业
301166.SZ,优宁维,医药生物,一级行业
301162.SZ,国能日新,计算机,一级行业
301135.SZ,瑞德智能,家用电器,一级行业
301141.SZ,中科磁业,有色金属,一级行业
301152.SZ,天力锂能,电力设备,一级行业
301177.SZ,迪阿股份,纺织服饰,一级行业
301173.SZ,毓恬冠佳,汽车,一级行业
301129.SZ,瑞纳智能,机械设备,一级行业
301131.SZ,聚赛龙,基础化工,一级行业
301180.SZ,万祥科技,电子,一级行业
301125.SZ,腾亚精工,机械设备,一级行业
301121.SZ,紫建电子,电力设备,一级行业
301156.SZ,美农生物,基础化工,一级行业
301165.SZ,锐捷网络,通信,一级行业
301136.SZ,招标股份,建筑装饰,一级行业
301161.SZ,唯万密封,机械设备,一级行业
301169.SZ,零点有数,社会服务,一级行业
301149.SZ,隆华新材,基础化工,一级行业
301155.SZ,海力风电,电力设备,一级行业
301132.SZ,满坤科技,电子,一级行业
301126.SZ,达嘉维康,医药生物,一级行业
301151.SZ,冠龙节能,机械设备,一级行业
301122.SZ,采纳股份,医药生物,一级行业
301170.SZ,锡南科技,汽车,一级行业
301159.SZ,三维天地,计算机,一级行业
301178.SZ,天亿马,计算机,一级行业
301137.SZ,哈焊华通,机械设备,一级行业
301160.SZ,翔楼新材,机械设备,一级行业
301168.SZ,通灵股份,电力设备,一级行业
301181.SZ,标榜股份,汽车,一级行业
301127.SZ,武汉天源,环保,一级行业
301175.SZ,中科环保,环保,一级行业
301148.SZ,嘉戎技术,环保,一级行业
301123.SZ,奕东电子,电子,一级行业
301133.SZ,金钟股份,汽车,一级行业
301150.SZ,中一科技,电力设备,一级行业
301171.SZ,易点天下,传媒,一级行业
301158.SZ,德石股份,机械设备,一级行业
301179.SZ,泽宇智能,电力设备,一级行业
