Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
003007.SZ,直真科技,计算机,一级行业
003008.SZ,开普检测,社会服务,一级行业
003005.SZ,竞业达,计算机,一级行业
003006.SZ,百亚股份,美容护理,一级行业
003004.SZ,声迅股份,计算机,一级行业
003010.SZ,若羽臣,商贸零售,一级行业
003011.SZ,海象新材,轻工制造,一级行业
002999.SZ,天禾股份,基础化工,一级行业
002998.SZ,优彩资源,基础化工,一级行业
003012.SZ,东鹏控股,轻工制造,一级行业
002993.SZ,奥海科技,电子,一级行业
002996.SZ,顺博合金,有色金属,一级行业
002997.SZ,瑞鹄模具,汽车,一级行业
002992.SZ,宝明科技,电子,一级行业
003000.SZ,劲仔食品,食品饮料,一级行业
002995.SZ,天地在线,传媒,一级行业
003001.SZ,中岩大地,建筑装饰,一级行业
003002.SZ,壶化股份,基础化工,一级行业
003003.SZ,天元股份,轻工制造,一级行业
003009.SZ,中天火箭,国防军工,一级行业
