Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002311.SZ,海大集团,农林牧渔,一级行业
002313.SZ,日海智能,通信,一级行业
002312.SZ,川发龙蟒,基础化工,一级行业
002330.SZ,得利斯,食品饮料,一级行业
002314.SZ,南山控股,房地产,一级行业
002315.SZ,焦点科技,商贸零售,一级行业
002331.SZ,皖通科技,计算机,一级行业
002328.SZ,新朋股份,汽车,一级行业
002327.SZ,富安娜,纺织服饰,一级行业
002329.SZ,皇氏集团,食品饮料,一级行业
002318.SZ,久立特材,钢铁,一级行业
002319.SZ,乐通股份,基础化工,一级行业
002320.SZ,海峡股份,交通运输,一级行业
002326.SZ,永太科技,基础化工,一级行业
002317.SZ,众生药业,医药生物,一级行业
002321.SZ,华英农业,农林牧渔,一级行业
002324.SZ,普利特,基础化工,一级行业
002322.SZ,理工能科,计算机,一级行业
002323.SZ,*ST雅博,建筑装饰,一级行业
002316.SZ,亚联发展,综合,一级行业
