Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002358.SZ,森源电气,电力设备,一级行业
002360.SZ,ST同德,基础化工,一级行业
002357.SZ,富临运业,交通运输,一级行业
002361.SZ,神剑股份,基础化工,一级行业
002356.SZ,鹏飞绿能,商贸零售,一级行业
002362.SZ,汉王科技,计算机,一级行业
002365.SZ,永安药业,医药生物,一级行业
002366.SZ,融发核电,电力设备,一级行业
002363.SZ,隆基机械,汽车,一级行业
002364.SZ,中恒电气,电力设备,一级行业
002367.SZ,康力电梯,机械设备,一级行业
002368.SZ,太极股份,计算机,一级行业
002369.SZ,卓翼科技,电子,一级行业
002370.SZ,亚太药业,医药生物,一级行业
002373.SZ,千方科技,计算机,一级行业
002371.SZ,北方华创,电子,一级行业
002372.SZ,伟星新材,建筑材料,一级行业
002354.SZ,天娱数科,传媒,一级行业
002355.SZ,兴民智通,汽车,一级行业
002374.SZ,中锐股份,轻工制造,一级行业
