Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
300489.SZ,光智科技,电子,一级行业
300500.SZ,启迪设计,建筑装饰,一级行业
300491.SZ,通合科技,电力设备,一级行业
300499.SZ,高澜股份,机械设备,一级行业
300510.SZ,金冠股份,电力设备,一级行业
300533.SZ,冰川网络,传媒,一级行业
300517.SZ,海波重科,建筑装饰,一级行业
300513.SZ,恒实科技,通信,一级行业
300537.SZ,广信材料,电子,一级行业
300504.SZ,天邑股份,通信,一级行业
300523.SZ,辰安科技,计算机,一级行业
300508.SZ,维宏股份,计算机,一级行业
300527.SZ,ST应急,国防军工,一级行业
300501.SZ,海顺新材,轻工制造,一级行业
300492.SZ,华图山鼎,社会服务,一级行业
300532.SZ,今天国际,计算机,一级行业
300496.SZ,中科创达,计算机,一级行业
300511.SZ,雪榕生物,农林牧渔,一级行业
300516.SZ,久之洋,电子,一级行业
300300.SZ,海峡创新,计算机,一级行业
300512.SZ,中亚股份,机械设备,一级行业
300505.SZ,川金诺,基础化工,一级行业
300522.SZ,世名科技,基础化工,一级行业
300509.SZ,新美星,机械设备,一级行业
300502.SZ,新易盛,通信,一级行业
300487.SZ,蓝晓科技,基础化工,一级行业
300493.SZ,润欣科技,电子,一级行业
300497.SZ,富祥股份,医药生物,一级行业
300519.SZ,新光药业,医药生物,一级行业
300531.SZ,优博讯,计算机,一级行业
300535.SZ,达威股份,基础化工,一级行业
300515.SZ,三德科技,机械设备,一级行业
300539.SZ,横河精密,基础化工,一级行业
300506.SZ,名家汇,建筑装饰,一级行业
300521.SZ,爱司凯,机械设备,一级行业
300529.SZ,健帆生物,医药生物,一级行业
300525.SZ,博思软件,计算机,一级行业
300503.SZ,昊志机电,机械设备,一级行业
300488.SZ,恒锋工具,机械设备,一级行业
300494.SZ,盛天网络,传媒,一级行业
300490.SZ,华自科技,电力设备,一级行业
300498.SZ,温氏股份,农林牧渔,一级行业
300530.SZ,领湃科技,电力设备,一级行业
300518.SZ,新迅达,商贸零售,一级行业
300534.SZ,陇神戎发,医药生物,一级行业
300514.SZ,友讯达,电力设备,一级行业
300538.SZ,同益股份,基础化工,一级行业
300507.SZ,苏奥传感,汽车,一级行业
300520.SZ,科大国创,计算机,一级行业
300528.SZ,幸福蓝海,传媒,一级行业
