Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002084.SZ,海鸥住工,轻工制造,一级行业
002085.SZ,万丰奥威,汽车,一级行业
002086.SZ,东方海洋,农林牧渔,一级行业
002080.SZ,中材科技,建筑材料,一级行业
002083.SZ,孚日股份,纺织服饰,一级行业
002081.SZ,金螳螂,建筑装饰,一级行业
002082.SZ,ST万邦,医药生物,一级行业
002090.SZ,金智科技,电力设备,一级行业
002088.SZ,鲁阳节能,建筑材料,一级行业
002095.SZ,生意宝,传媒,一级行业
002096.SZ,易普力,基础化工,一级行业
002097.SZ,山河智能,机械设备,一级行业
002076.SZ,星光股份,家用电器,一级行业
002093.SZ,国脉科技,社会服务,一级行业
002094.SZ,青岛金王,美容护理,一级行业
002092.SZ,中泰化学,基础化工,一级行业
002078.SZ,太阳纸业,轻工制造,一级行业
002091.SZ,江苏国泰,商贸零售,一级行业
002077.SZ,大港股份,电子,一级行业
002079.SZ,苏州固锝,电力设备,一级行业
