Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
300739.SZ,明阳电路,电子,一级行业
300745.SZ,欣锐科技,汽车,一级行业
300716.SZ,*ST泉为,电力设备,一级行业
300741.SZ,华宝股份,基础化工,一级行业
300735.SZ,光弘科技,电子,一级行业
300722.SZ,新余国科,国防军工,一级行业
300703.SZ,创源股份,轻工制造,一级行业
300707.SZ,威唐工业,汽车,一级行业
300731.SZ,科创新源,基础化工,一级行业
300726.SZ,宏达电子,国防军工,一级行业
300712.SZ,永福股份,建筑装饰,一级行业
300749.SZ,顶固集创,轻工制造,一级行业
300697.SZ,电工合金,有色金属,一级行业
300713.SZ,英可瑞,电力设备,一级行业
300738.SZ,奥飞数据,通信,一级行业
300740.SZ,水羊股份,美容护理,一级行业
300717.SZ,华信新材,基础化工,一级行业
300723.SZ,一品红,医药生物,一级行业
300694.SZ,蠡湖股份,汽车,一级行业
300730.SZ,科创信息,计算机,一级行业
300702.SZ,天宇股份,医药生物,一级行业
300706.SZ,阿石创,电子,一级行业
300727.SZ,润禾材料,基础化工,一级行业
300748.SZ,金力永磁,有色金属,一级行业
300698.SZ,万马科技,通信,一级行业
300720.SZ,海川智能,机械设备,一级行业
300737.SZ,科顺股份,建筑材料,一级行业
300718.SZ,长盛轴承,机械设备,一级行业
300743.SZ,天地数码,计算机,一级行业
300701.SZ,森霸传感,电子,一级行业
300695.SZ,兆丰股份,汽车,一级行业
300705.SZ,九典制药,医药生物,一级行业
300724.SZ,捷佳伟创,电力设备,一级行业
300709.SZ,精研科技,电子,一级行业
300733.SZ,西菱动力,汽车,一级行业
300747.SZ,锐科激光,机械设备,一级行业
300699.SZ,光威复材,国防军工,一级行业
300710.SZ,万隆光电,通信,一级行业
300719.SZ,安达维尔,国防军工,一级行业
300721.SZ,怡达股份,基础化工,一级行业
300715.SZ,凯伦股份,建筑材料,一级行业
300736.SZ,百邦科技,电子,一级行业
300700.SZ,岱勒新材,机械设备,一级行业
300729.SZ,乐歌股份,轻工制造,一级行业
300696.SZ,爱乐达,国防军工,一级行业
300732.SZ,设研院,建筑装饰,一级行业
300708.SZ,聚灿光电,电子,一级行业
300725.SZ,药石科技,医药生物,一级行业
300711.SZ,广哈通信,通信,一级行业
300746.SZ,汉嘉数智,建筑装饰,一级行业
