Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
300607.SZ,拓斯达,机械设备,一级行业
300632.SZ,光莆股份,电子,一级行业
300613.SZ,富瀚微,电子,一级行业
300598.SZ,诚迈科技,计算机,一级行业
300603.SZ,立昂技术,通信,一级行业
300594.SZ,ST朗进,机械设备,一级行业
300626.SZ,华瑞股份,电力设备,一级行业
300642.SZ,透景生命,医药生物,一级行业
300622.SZ,博士眼镜,商贸零售,一级行业
300617.SZ,安靠智电,电力设备,一级行业
300636.SZ,同和药业,医药生物,一级行业
300635.SZ,中达安,建筑装饰,一级行业
300608.SZ,思特奇,计算机,一级行业
300595.SZ,欧普康视,医药生物,一级行业
300631.SZ,久吾高科,环保,一级行业
300604.SZ,长川科技,电子,一级行业
300599.SZ,雄塑科技,建筑材料,一级行业
300610.SZ,晨化股份,基础化工,一级行业
300641.SZ,正丹股份,基础化工,一级行业
300625.SZ,三雄极光,家用电器,一级行业
300629.SZ,新劲刚,国防军工,一级行业
300621.SZ,维业股份,建筑装饰,一级行业
300618.SZ,寒锐钴业,有色金属,一级行业
300600.SZ,国瑞科技,国防军工,一级行业
300639.SZ,凯普生物,医药生物,一级行业
300614.SZ,百川畅银,环保,一级行业
300609.SZ,汇纳科技,计算机,一级行业
300634.SZ,彩讯股份,计算机,一级行业
300596.SZ,利安隆,基础化工,一级行业
300605.SZ,恒锋信息,计算机,一级行业
300611.SZ,美力科技,汽车,一级行业
300640.SZ,德艺文创,轻工制造,一级行业
300628.SZ,亿联网络,通信,一级行业
300592.SZ,华凯易佰,商贸零售,一级行业
300619.SZ,金银河,电力设备,一级行业
300624.SZ,万兴科技,计算机,一级行业
300620.SZ,光库科技,通信,一级行业
300601.SZ,康泰生物,医药生物,一级行业
300615.SZ,欣天科技,通信,一级行业
300638.SZ,广和通,通信,一级行业
300633.SZ,开立医疗,医药生物,一级行业
300612.SZ,宣亚国际,传媒,一级行业
300606.SZ,金太阳,机械设备,一级行业
300597.SZ,吉大通信,通信,一级行业
300593.SZ,新雷能,电力设备,一级行业
300627.SZ,华测导航,通信,一级行业
300623.SZ,捷捷微电,电子,一级行业
300602.SZ,飞荣达,电子,一级行业
300616.SZ,尚品宅配,轻工制造,一级行业
300637.SZ,扬帆新材,基础化工,一级行业
