Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002049.SZ,紫光国微,电子,一级行业
001400.SZ,江顺科技,机械设备,一级行业
002037.SZ,保利联合,基础化工,一级行业
002025.SZ,航天电器,国防军工,一级行业
001322.SZ,箭牌家居,轻工制造,一级行业
001386.SZ,马可波罗,轻工制造,一级行业
002050.SZ,三花智控,家用电器,一级行业
002009.SZ,天奇股份,机械设备,一级行业
001395.SZ,亚联机械,机械设备,一级行业
002046.SZ,国机精工,机械设备,一级行业
002034.SZ,旺能环境,环保,一级行业
002022.SZ,科华生物,医药生物,一级行业
001358.SZ,兴欣新材,基础化工,一级行业
002010.SZ,传化智联,交通运输,一级行业
001331.SZ,胜通能源,公用事业,一级行业
001318.SZ,阳光乳业,食品饮料,一级行业
001367.SZ,海森药业,医药生物,一级行业
002006.SZ,精工科技,机械设备,一级行业
002043.SZ,兔宝宝,建筑材料,一级行业
002031.SZ,巨轮智能,机械设备,一级行业
001696.SZ,宗申动力,机械设备,一级行业
001379.SZ,腾达科技,机械设备,一级行业
001380.SZ,华纬科技,汽车,一级行业
002003.SZ,伟星股份,纺织服饰,一级行业
002015.SZ,协鑫能科,公用事业,一级行业
001388.SZ,信通电子,电力设备,一级行业
001339.SZ,智微智能,计算机,一级行业
002052.SZ,同洲电子,电力设备,一级行业
002040.SZ,南京港,交通运输,一级行业
002039.SZ,黔源电力,公用事业,一级行业
001376.SZ,百通能源,公用事业,一级行业
002027.SZ,分众传媒,传媒,一级行业
001324.SZ,长青科技,机械设备,一级行业
001373.SZ,翔腾新材,电子,一级行业
002012.SZ,凯恩股份,轻工制造,一级行业
001336.SZ,楚环科技,环保,一级行业
002048.SZ,宁波华翔,汽车,一级行业
002036.SZ,联创电子,电子,一级行业
002024.SZ,ST易购,商贸零售,一级行业
001333.SZ,光华股份,基础化工,一级行业
001914.SZ,招商积余,房地产,一级行业
002008.SZ,大族激光,机械设备,一级行业
002021.SZ,中捷资源,机械设备,一级行业
002045.SZ,国光电器,电子,一级行业
001369.SZ,双欣材料,基础化工,一级行业
001382.SZ,新亚电缆,电力设备,一级行业
002033.SZ,丽江股份,社会服务,一级行业
001366.SZ,播恩集团,农林牧渔,一级行业
001317.SZ,三羊马,交通运输,一级行业
001378.SZ,德冠新材,基础化工,一级行业
002017.SZ,东信和平,通信,一级行业
002029.SZ,七匹狼,纺织服饰,一级行业
001330.SZ,博纳影业,传媒,一级行业
002005.SZ,德豪润达,家用电器,一级行业
001979.SZ,招商蛇口,房地产,一级行业
001338.SZ,永顺泰,农林牧渔,一级行业
002042.SZ,华孚时尚,纺织服饰,一级行业
002030.SZ,达安基因,医药生物,一级行业
001391.SZ,国货航,交通运输,一级行业
001326.SZ,联域股份,家用电器,一级行业
002026.SZ,山东威达,机械设备,一级行业
002014.SZ,永新股份,轻工制造,一级行业
001399.SZ,惠科股份,电子,一级行业
001387.SZ,雪祺电气,家用电器,一级行业
002051.SZ,中工国际,建筑装饰,一级行业
002038.SZ,双鹭药业,医药生物,一级行业
001360.SZ,南矿集团,机械设备,一级行业
001359.SZ,平安电工,基础化工,一级行业
001396.SZ,誉帆科技,建筑装饰,一级行业
001323.SZ,慕思股份,轻工制造,一级行业
002035.SZ,华帝股份,家用电器,一级行业
002023.SZ,海特高新,国防军工,一级行业
001335.SZ,信凯科技,基础化工,一级行业
002011.SZ,盾安环境,家用电器,一级行业
001332.SZ,锡装股份,机械设备,一级行业
002047.SZ,宝鹰股份,建筑装饰,一级行业
001356.SZ,富岭股份,轻工制造,一级行业
001319.SZ,铭科精技,汽车,一级行业
002032.SZ,苏泊尔,家用电器,一级行业
002020.SZ,京新药业,医药生物,一级行业
002007.SZ,华兰生物,医药生物,一级行业
002019.SZ,亿帆医药,医药生物,一级行业
001896.SZ,豫能控股,公用事业,一级行业
001368.SZ,通达创智,轻工制造,一级行业
001872.SZ,招商港口,交通运输,一级行业
001393.SZ,维通利,电力设备,一级行业
001965.SZ,招商公路,交通运输,一级行业
002044.SZ,美年健康,医药生物,一级行业
001365.SZ,天海电子,汽车,一级行业
001389.SZ,广合科技,电子,一级行业
001390.SZ,古麒绒材,纺织服饰,一级行业
002041.SZ,登海种业,农林牧渔,一级行业
001328.SZ,登康口腔,美容护理,一级行业
002028.SZ,思源电气,电力设备,一级行业
002004.SZ,华邦健康,医药生物,一级行业
002016.SZ,世荣兆业,房地产,一级行业
001337.SZ,四川黄金,有色金属,一级行业
002053.SZ,云南能投,公用事业,一级行业
002001.SZ,新和成,基础化工,一级行业
001325.SZ,元创股份,基础化工,一级行业
