Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002956.SZ,西麦食品,食品饮料,一级行业
002957.SZ,科瑞技术,机械设备,一级行业
002955.SZ,鸿合科技,电子,一级行业
002959.SZ,小熊电器,家用电器,一级行业
002958.SZ,青农商行,银行,一级行业
002963.SZ,豪尔赛,建筑装饰,一级行业
002949.SZ,华阳国际,建筑装饰,一级行业
002961.SZ,瑞达期货,非银金融,一级行业
002962.SZ,五方光电,电子,一级行业
002960.SZ,青鸟智控,机械设备,一级行业
002968.SZ,新大正,房地产,一级行业
002970.SZ,锐明技术,计算机,一级行业
002965.SZ,祥鑫科技,汽车,一级行业
002966.SZ,苏州银行,银行,一级行业
002967.SZ,广电计量,社会服务,一级行业
002969.SZ,嘉美包装,轻工制造,一级行业
002951.SZ,金时科技,电力设备,一级行业
002950.SZ,奥美医疗,医药生物,一级行业
002952.SZ,亚世光电,电子,一级行业
002953.SZ,日丰股份,电力设备,一级行业
