Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002526.SZ,山东矿机,机械设备,一级行业
002527.SZ,新时达,机械设备,一级行业
002519.SZ,银河电子,国防军工,一级行业
002518.SZ,科士达,电力设备,一级行业
002516.SZ,旷达科技,汽车,一级行业
002510.SZ,天汽模,汽车,一级行业
002511.SZ,中顺洁柔,美容护理,一级行业
002517.SZ,恺英网络,传媒,一级行业
002512.SZ,ST达华,计算机,一级行业
002515.SZ,金字火腿,食品饮料,一级行业
002514.SZ,*ST宝馨,机械设备,一级行业
002530.SZ,金财互联,机械设备,一级行业
002513.SZ,蓝丰生化,基础化工,一级行业
002520.SZ,日发精机,机械设备,一级行业
002529.SZ,海源复材,机械设备,一级行业
002528.SZ,*ST英飞,计算机,一级行业
002521.SZ,齐峰新材,轻工制造,一级行业
002524.SZ,光正眼科,医药生物,一级行业
002522.SZ,浙江众成,基础化工,一级行业
002523.SZ,天桥起重,机械设备,一级行业
