Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
301379.SZ,天山电子,电子,一级行业
301413.SZ,安培龙,机械设备,一级行业
301381.SZ,赛维时代,商贸零售,一级行业
301488.SZ,豪恩汽电,汽车,一级行业
301398.SZ,星源卓镁,汽车,一级行业
301469.SZ,恒达新材,轻工制造,一级行业
301371.SZ,敷尔佳,美容护理,一级行业
301446.SZ,福事特,机械设备,一级行业
301390.SZ,经纬股份,建筑装饰,一级行业
301388.SZ,欣灵电气,电力设备,一级行业
301369.SZ,联动科技,电子,一级行业
301459.SZ,丰茂股份,基础化工,一级行业
301380.SZ,挖金客,通信,一级行业
301487.SZ,盟固利,电力设备,一级行业
301378.SZ,通达海,计算机,一级行业
301399.SZ,英特科技,机械设备,一级行业
301408.SZ,华人健康,医药生物,一级行业
301370.SZ,国科恒泰,医药生物,一级行业
301429.SZ,森泰股份,建筑材料,一级行业
301449.SZ,天溯计量,社会服务,一级行业
301391.SZ,卡莱特,计算机,一级行业
301498.SZ,乖宝宠物,农林牧渔,一级行业
301395.SZ,仁信新材,基础化工,一级行业
301389.SZ,隆扬电子,电子,一级行业
301418.SZ,协昌科技,机械设备,一级行业
301439.SZ,泓淋电力,电力设备,一级行业
301456.SZ,盘古智能,电力设备,一级行业
301486.SZ,致尚科技,电子,一级行业
301377.SZ,鼎泰高科,机械设备,一级行业
301421.SZ,波长光电,电子,一级行业
301373.SZ,凌玮科技,基础化工,一级行业
301428.SZ,世纪恒通,通信,一级行业
301448.SZ,开创电气,机械设备,一级行业
301392.SZ,汇成真空,机械设备,一级行业
301499.SZ,维科精密,汽车,一级行业
301396.SZ,宏景科技,计算机,一级行业
301386.SZ,未来电器,电力设备,一级行业
301419.SZ,阿莱德,通信,一级行业
301491.SZ,汉桑科技,电子,一级行业
301382.SZ,蜂助手,通信,一级行业
301489.SZ,思泉新材,电子,一级行业
301376.SZ,致欧科技,轻工制造,一级行业
301468.SZ,博盈特焊,机械设备,一级行业
301372.SZ,科净源,环保,一级行业
301393.SZ,昊帆生物,医药生物,一级行业
301387.SZ,光大同创,电子,一级行业
301397.SZ,溯联股份,汽车,一级行业
301479.SZ,弘景光电,电子,一级行业
301383.SZ,天键股份,电子,一级行业
301458.SZ,钧崴电子,电子,一级行业
