Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
301522.SZ,上大股份,有色金属,一级行业
301526.SZ,国际复材,建筑材料,一级行业
301551.SZ,无线传媒,传媒,一级行业
301516.SZ,中远通,电力设备,一级行业
301503.SZ,智迪科技,计算机,一级行业
301539.SZ,宏鑫科技,汽车,一级行业
301578.SZ,辰奕智能,家用电器,一级行业
301558.SZ,三态股份,商贸零售,一级行业
301531.SZ,春光集团,有色金属,一级行业
301512.SZ,智信精密,机械设备,一级行业
301535.SZ,浙江华远,汽车,一级行业
301560.SZ,众捷股份,汽车,一级行业
301507.SZ,民生健康,医药生物,一级行业
301568.SZ,思泰克,机械设备,一级行业
301571.SZ,国科天成,国防军工,一级行业
301548.SZ,崇德科技,机械设备,一级行业
301517.SZ,陕西华达,国防军工,一级行业
301550.SZ,斯菱智驱,汽车,一级行业
301502.SZ,华阳智能,电力设备,一级行业
301538.SZ,骏鼎达,基础化工,一级行业
301575.SZ,艾芬达,轻工制造,一级行业
301559.SZ,中集环科,机械设备,一级行业
301555.SZ,惠柏新材,基础化工,一级行业
301513.SZ,尚水智能,电力设备,一级行业
301565.SZ,中仑新材,基础化工,一级行业
301518.SZ,长华化学,基础化工,一级行业
301520.SZ,万邦医药,医药生物,一级行业
301501.SZ,恒鑫生活,轻工制造,一级行业
301509.SZ,金凯生科,医药生物,一级行业
301510.SZ,固高科技,机械设备,一级行业
301556.SZ,托普云农,计算机,一级行业
301581.SZ,黄山谷捷,汽车,一级行业
301505.SZ,苏州规划,建筑装饰,一级行业
301533.SZ,威马农机,机械设备,一级行业
301528.SZ,多浦乐,机械设备,一级行业
301566.SZ,达利凯普,电子,一级行业
301500.SZ,飞南资源,环保,一级行业
301519.SZ,舜禹股份,环保,一级行业
301525.SZ,儒竞科技,机械设备,一级行业
301552.SZ,科力装备,汽车,一级行业
301577.SZ,美信科技,通信,一级行业
301511.SZ,德福科技,电力设备,一级行业
301557.SZ,常友科技,电力设备,一级行业
301580.SZ,爱迪特,医药生物,一级行业
301536.SZ,星宸科技,电子,一级行业
301508.SZ,中机认检,社会服务,一级行业
301515.SZ,港通医疗,医药生物,一级行业
301529.SZ,福赛科技,汽车,一级行业
301563.SZ,云汉芯城,电子,一级行业
301567.SZ,贝隆精密,电子,一级行业
