Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002251.SZ,步步高,商贸零售,一级行业
002252.SZ,上海莱士,医药生物,一级行业
002250.SZ,联化科技,基础化工,一级行业
002254.SZ,泰和新材,基础化工,一级行业
002259.SZ,升达林业,公用事业,一级行业
002253.SZ,川大智胜,计算机,一级行业
002258.SZ,利尔化学,基础化工,一级行业
002255.SZ,海陆重工,电力设备,一级行业
002256.SZ,兆新股份,公用事业,一级行业
002245.SZ,蔚蓝锂芯,电力设备,一级行业
002266.SZ,浙富控股,环保,一级行业
002261.SZ,拓维信息,计算机,一级行业
002246.SZ,北化股份,基础化工,一级行业
002249.SZ,大洋电机,电力设备,一级行业
002262.SZ,恩华药业,医药生物,一级行业
002265.SZ,建设工业,汽车,一级行业
002247.SZ,聚力文化,建筑材料,一级行业
002248.SZ,华东数控,机械设备,一级行业
002263.SZ,大东南,基础化工,一级行业
002264.SZ,新华都,传媒,一级行业
