Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
301006.SZ,迈拓股份,机械设备,一级行业
300982.SZ,苏文电能,建筑装饰,一级行业
301002.SZ,崧盛股份,电力设备,一级行业
300963.SZ,中洲特材,有色金属,一级行业
300999.SZ,金龙鱼,农林牧渔,一级行业
300986.SZ,志特新材,建筑装饰,一级行业
300967.SZ,晓鸣股份,农林牧渔,一级行业
300991.SZ,创益通,电子,一级行业
300995.SZ,奇德新材,基础化工,一级行业
300976.SZ,达瑞电子,电子,一级行业
300972.SZ,万辰集团,商贸零售,一级行业
300983.SZ,尤安设计,建筑装饰,一级行业
301009.SZ,可靠股份,美容护理,一级行业
300977.SZ,深圳瑞捷,建筑装饰,一级行业
301005.SZ,超捷股份,汽车,一级行业
300987.SZ,川网传媒,传媒,一级行业
300962.SZ,中金辐照,社会服务,一级行业
300994.SZ,久祺股份,汽车,一级行业
300966.SZ,共同药业,医药生物,一级行业
300998.SZ,宁波方正,汽车,一级行业
301001.SZ,凯淳股份,商贸零售,一级行业
300973.SZ,立高食品,食品饮料,一级行业
300990.SZ,同飞股份,机械设备,一级行业
300980.SZ,祥源新材,基础化工,一级行业
301008.SZ,宏昌科技,家用电器,一级行业
300984.SZ,金沃股份,机械设备,一级行业
301004.SZ,嘉益股份,轻工制造,一级行业
300978.SZ,东箭科技,汽车,一级行业
301010.SZ,晶雪节能,建筑材料,一级行业
300965.SZ,恒宇信通,国防军工,一级行业
300961.SZ,深水海纳,环保,一级行业
300993.SZ,玉马科技,轻工制造,一级行业
300969.SZ,恒帅股份,汽车,一级行业
300970.SZ,华绿生物,农林牧渔,一级行业
300988.SZ,津荣天宇,机械设备,一级行业
301000.SZ,肇民科技,汽车,一级行业
300997.SZ,欢乐家,食品饮料,一级行业
300981.SZ,中红医疗,医药生物,一级行业
301007.SZ,德迈仕,汽车,一级行业
300985.SZ,致远新能,机械设备,一级行业
300979.SZ,华利集团,纺织服饰,一级行业
301003.SZ,江苏博云,基础化工,一级行业
300964.SZ,本川智能,电子,一级行业
300960.SZ,通业科技,机械设备,一级行业
300968.SZ,格林精密,电子,一级行业
300971.SZ,博亚精工,机械设备,一级行业
300992.SZ,泰福泵业,机械设备,一级行业
300996.SZ,普联软件,计算机,一级行业
300989.SZ,蕾奥规划,建筑装饰,一级行业
300975.SZ,商络电子,电子,一级行业
