Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
300575.SZ,中旗股份,基础化工,一级行业
300556.SZ,丝路视觉,计算机,一级行业
300579.SZ,数字认证,计算机,一级行业
300590.SZ,移为通信,通信,一级行业
300571.SZ,平治信息,通信,一级行业
300552.SZ,万集科技,计算机,一级行业
300584.SZ,海辰药业,医药生物,一级行业
300588.SZ,熙菱信息,计算机,一级行业
300580.SZ,贝斯特,汽车,一级行业
300569.SZ,天能重工,电力设备,一级行业
300565.SZ,科信技术,通信,一级行业
300546.SZ,雄帝科技,计算机,一级行业
300561.SZ,汇金科技,计算机,一级行业
300542.SZ,新晨科技,计算机,一级行业
300578.SZ,会畅科技,通信,一级行业
300557.SZ,理工光科,机械设备,一级行业
300591.SZ,万里马,纺织服饰,一级行业
300553.SZ,集智股份,机械设备,一级行业
300570.SZ,太辰光,通信,一级行业
300564.SZ,筑博设计,建筑装饰,一级行业
300585.SZ,奥联电子,汽车,一级行业
300589.SZ,江龙船艇,国防军工,一级行业
300568.SZ,星源材质,电力设备,一级行业
300581.SZ,晨曦航空,国防军工,一级行业
300547.SZ,川环科技,汽车,一级行业
300560.SZ,中富通,通信,一级行业
300543.SZ,朗科智能,家用电器,一级行业
300548.SZ,长芯博创,通信,一级行业
300573.SZ,兴齐眼药,医药生物,一级行业
300577.SZ,开润股份,纺织服饰,一级行业
300558.SZ,贝达药业,医药生物,一级行业
300554.SZ,三超新材,机械设备,一级行业
300550.SZ,和仁科技,计算机,一级行业
300563.SZ,神宇股份,通信,一级行业
300586.SZ,美联新材,基础化工,一级行业
300582.SZ,英飞特,电子,一级行业
300567.SZ,精测电子,机械设备,一级行业
300540.SZ,蜀道装备,机械设备,一级行业
300576.SZ,容大感光,电子,一级行业
300549.SZ,优德精密,机械设备,一级行业
300555.SZ,ST路通,通信,一级行业
300572.SZ,安车检测,机械设备,一级行业
300551.SZ,古鳌科技,计算机,一级行业
300562.SZ,乐心股份,医药生物,一级行业
300587.SZ,天铁科技,基础化工,一级行业
300559.SZ,佳发教育,计算机,一级行业
300566.SZ,激智科技,电子,一级行业
300583.SZ,赛托生物,医药生物,一级行业
300541.SZ,先进数通,计算机,一级行业
300545.SZ,联得装备,电子,一级行业
