Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
300004.SZ,南风股份,机械设备,一级行业
300016.SZ,北陆药业,医药生物,一级行业
300065.SZ,海兰信,国防军工,一级行业
300077.SZ,国民技术,电子,一级行业
300056.SZ,中创环保,环保,一级行业
300044.SZ,*ST赛为,计算机,一级行业
300032.SZ,金龙机电,电子,一级行业
300020.SZ,ST银江,计算机,一级行业
300007.SZ,汉威科技,机械设备,一级行业
300019.SZ,硅宝科技,基础化工,一级行业
300062.SZ,中能电气,电力设备,一级行业
300050.SZ,世纪鼎利,社会服务,一级行业
300049.SZ,福瑞医科,医药生物,一级行业
300037.SZ,新宙邦,电力设备,一级行业
300013.SZ,新宁物流,交通运输,一级行业
300025.SZ,华星创业,通信,一级行业
300001.SZ,特锐德,电力设备,一级行业
003038.SZ,鑫铂股份,有色金属,一级行业
300068.SZ,ST南都,电力设备,一级行业
300081.SZ,ST恒信,通信,一级行业
300093.SZ,金刚光伏,电力设备,一级行业
300053.SZ,航宇微,电子,一级行业
300041.SZ,回天新材,基础化工,一级行业
300058.SZ,蓝色光标,传媒,一级行业
300046.SZ,台基股份,电子,一级行业
300067.SZ,安诺其,基础化工,一级行业
300034.SZ,钢研高纳,国防军工,一级行业
300079.SZ,数码视讯,计算机,一级行业
300022.SZ,吉峰科技,商贸零售,一级行业
300010.SZ,ST豆神,社会服务,一级行业
300080.SZ,易成新能,电力设备,一级行业
300092.SZ,科新机电,机械设备,一级行业
300009.SZ,安科生物,医药生物,一级行业
300074.SZ,华平股份,计算机,一级行业
300039.SZ,上海凯宝,医药生物,一级行业
300086.SZ,康芝药业,医药生物,一级行业
300027.SZ,ST华谊,传媒,一级行业
300003.SZ,乐普医疗,医药生物,一级行业
300098.SZ,高新兴,通信,一级行业
300015.SZ,爱尔眼科,医药生物,一级行业
003041.SZ,真爱美家,纺织服饰,一级行业
003037.SZ,三和管桩,建筑材料,一级行业
300055.SZ,万邦达,石油石化,一级行业
300043.SZ,星辉娱乐,传媒,一级行业
300071.SZ,福石控股,传媒,一级行业
300083.SZ,创世纪,机械设备,一级行业
300031.SZ,宝通科技,传媒,一级行业
300018.SZ,中元股份,电力设备,一级行业
300095.SZ,华伍股份,机械设备,一级行业
300006.SZ,莱美药业,医药生物,一级行业
300097.SZ,智云股份,机械设备,一级行业
300061.SZ,旗天科技,传媒,一级行业
300048.SZ,合康新能,机械设备,一级行业
300036.SZ,超图软件,计算机,一级行业
003039.SZ,顺控发展,环保,一级行业
003040.SZ,楚天龙,通信,一级行业
300024.SZ,机器人,机械设备,一级行业
300012.SZ,华测检测,社会服务,一级行业
003036.SZ,泰坦股份,机械设备,一级行业
300069.SZ,金利华电,电力设备,一级行业
300070.SZ,碧水源,环保,一级行业
300082.SZ,奥克股份,基础化工,一级行业
300094.SZ,国联水产,农林牧渔,一级行业
300052.SZ,中青宝,传媒,一级行业
300040.SZ,九洲集团,公用事业,一级行业
003043.SZ,华亚智能,电子,一级行业
300005.SZ,探路者,纺织服饰,一级行业
300076.SZ,*ST宁视,电子,一级行业
300088.SZ,长信科技,电子,一级行业
300057.SZ,万顺新材,有色金属,一级行业
300045.SZ,华力创通,国防军工,一级行业
300033.SZ,同花顺,计算机,一级行业
300008.SZ,天海防务,国防军工,一级行业
300021.SZ,大禹节水,农林牧渔,一级行业
300073.SZ,当升科技,电力设备,一级行业
300085.SZ,银之杰,计算机,一级行业
300051.SZ,琏升科技,电力设备,一级行业
003042.SZ,中农联合,基础化工,一级行业
300075.SZ,数字政通,计算机,一级行业
300026.SZ,红日药业,医药生物,一级行业
300087.SZ,ST荃银,农林牧渔,一级行业
300014.SZ,亿纬锂能,电力设备,一级行业
300099.SZ,尤洛卡,机械设备,一级行业
300002.SZ,神州泰岳,传媒,一级行业
300054.SZ,鼎龙股份,电子,一级行业
300042.SZ,朗科科技,计算机,一级行业
300030.SZ,阳普医疗,医药生物,一级行业
300072.SZ,海新能科,基础化工,一级行业
300084.SZ,海默科技,机械设备,一级行业
300017.SZ,网宿科技,计算机,一级行业
300096.SZ,ST易联众,计算机,一级行业
300059.SZ,东方财富,非银金融,一级行业
300047.SZ,天源迪科,计算机,一级行业
300066.SZ,三川智慧,机械设备,一级行业
300078.SZ,思创智联,计算机,一级行业
300035.SZ,中科电气,电力设备,一级行业
300091.SZ,*ST金灵,机械设备,一级行业
300011.SZ,鼎汉技术,机械设备,一级行业
003816.SZ,中国广核,公用事业,一级行业
300063.SZ,天龙集团,传媒,一级行业
