Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002415.SZ,海康威视,计算机,一级行业
002400.SZ,省广集团,传媒,一级行业
002402.SZ,和而泰,电子,一级行业
002403.SZ,爱仕达,家用电器,一级行业
002401.SZ,中远海科,计算机,一级行业
002405.SZ,四维图新,计算机,一级行业
002404.SZ,嘉欣丝绸,纺织服饰,一级行业
002407.SZ,多氟多,基础化工,一级行业
002406.SZ,远东传动,汽车,一级行业
002408.SZ,齐翔腾达,石油石化,一级行业
002409.SZ,雅克科技,电子,一级行业
002412.SZ,汉森制药,医药生物,一级行业
002413.SZ,雷科防务,国防军工,一级行业
002414.SZ,高德红外,国防军工,一级行业
002398.SZ,垒知集团,建筑材料,一级行业
002399.SZ,海普瑞,医药生物,一级行业
002410.SZ,广联达,计算机,一级行业
002397.SZ,梦洁股份,纺织服饰,一级行业
002395.SZ,双象股份,基础化工,一级行业
002396.SZ,星网锐捷,通信,一级行业
