Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002466.SZ,天齐锂业,有色金属,一级行业
002467.SZ,二六三,通信,一级行业
002468.SZ,申通快递,交通运输,一级行业
002469.SZ,三维化学,建筑装饰,一级行业
002470.SZ,金正大,基础化工,一级行业
002462.SZ,嘉事堂,医药生物,一级行业
002465.SZ,海格通信,国防军工,一级行业
002463.SZ,沪电股份,电子,一级行业
002471.SZ,中超控股,电力设备,一级行业
002472.SZ,双环传动,汽车,一级行业
002461.SZ,珠江啤酒,食品饮料,一级行业
002478.SZ,常宝股份,钢铁,一级行业
002479.SZ,富春环保,公用事业,一级行业
002482.SZ,广田集团,建筑装饰,一级行业
002475.SZ,立讯精密,电子,一级行业
002476.SZ,新叶股份,石油石化,一级行业
002483.SZ,润邦股份,机械设备,一级行业
002474.SZ,榕基软件,计算机,一级行业
002481.SZ,双塔食品,农林牧渔,一级行业
002480.SZ,新筑股份,公用事业,一级行业
