Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
603001.SH,奥康国际,纺织服饰,一级行业
601928.SH,凤凰传媒,传媒,一级行业
601963.SH,重庆银行,银行,一级行业
601877.SH,正泰电器,电力设备,一级行业
603009.SH,北特科技,汽车,一级行业
601860.SH,紫金银行,银行,一级行业
601992.SH,金隅集团,建筑材料,一级行业
603015.SH,弘讯科技,机械设备,一级行业
601868.SH,中国能建,建筑装饰,一级行业
601828.SH,美凯龙,商贸零售,一级行业
601857.SH,中国石油,石油石化,一级行业
603006.SH,联明股份,汽车,一级行业
601702.SH,华峰铝业,有色金属,一级行业
601966.SH,玲珑轮胎,汽车,一级行业
601969.SH,海南矿业,钢铁,一级行业
603027.SH,千禾味业,食品饮料,一级行业
601811.SH,新华文轩,传媒,一级行业
603012.SH,创力集团,机械设备,一级行业
601888.SH,中国中免,商贸零售,一级行业
601997.SH,贵阳银行,银行,一级行业
601808.SH,中海油服,石油石化,一级行业
601825.SH,沪农商行,银行,一级行业
601880.SH,辽港股份,交通运输,一级行业
603026.SH,石大胜华,电力设备,一级行业
601800.SH,中国交建,建筑装饰,一级行业
601766.SH,中国中车,机械设备,一级行业
601898.SH,中煤能源,煤炭,一级行业
601890.SH,亚星锚链,国防军工,一级行业
603007.SH,顺景科技,汽车,一级行业
601727.SH,上海电气,电力设备,一级行业
601799.SH,星宇股份,汽车,一级行业
603013.SH,亚普股份,汽车,一级行业
601916.SH,浙商银行,银行,一级行业
601998.SH,中信银行,银行,一级行业
601900.SH,南方传媒,传媒,一级行业
601958.SH,金钼股份,有色金属,一级行业
601939.SH,建设银行,银行,一级行业
601990.SH,南京证券,非银金融,一级行业
601975.SH,招商南油,交通运输,一级行业
601788.SH,光大证券,非银金融,一级行业
601908.SH,京运通,公用事业,一级行业
601933.SH,永辉超市,商贸零售,一级行业
603004.SH,鼎龙科技,基础化工,一级行业
603021.SH,*ST华鹏,轻工制造,一级行业
601919.SH,中远海控,交通运输,一级行业
601777.SH,千里科技,汽车,一级行业
601865.SH,福莱特,电力设备,一级行业
603010.SH,万盛股份,基础化工,一级行业
601718.SH,ST际华,纺织服饰,一级行业
601995.SH,中金公司,非银金融,一级行业
601882.SH,海天精工,机械设备,一级行业
603018.SH,华设集团,建筑装饰,一级行业
603020.SH,爱普股份,基础化工,一级行业
601838.SH,成都银行,银行,一级行业
603005.SH,晶方科技,电子,一级行业
603028.SH,赛福天,机械设备,一级行业
601918.SH,新集能源,煤炭,一级行业
601778.SH,晶科科技,公用事业,一级行业
601921.SH,浙版传媒,传媒,一级行业
603011.SH,合锻智能,机械设备,一级行业
601996.SH,丰林集团,轻工制造,一级行业
603019.SH,中科曙光,计算机,一级行业
603002.SH,宏昌电子,电子,一级行业
601956.SH,东贝集团,家用电器,一级行业
601801.SH,皖新传媒,传媒,一级行业
601899.SH,紫金矿业,有色金属,一级行业
601878.SH,浙商证券,非银金融,一级行业
603023.SH,威帝股份,汽车,一级行业
601818.SH,光大银行,银行,一级行业
603016.SH,新宏泰,电力设备,一级行业
601789.SH,宁波建工,建筑装饰,一级行业
601869.SH,长飞光纤,通信,一级行业
601949.SH,中国出版,传媒,一级行业
603022.SH,新通联,轻工制造,一级行业
601965.SH,中国汽研,汽车,一级行业
601988.SH,中国银行,银行,一级行业
601968.SH,宝钢包装,轻工制造,一级行业
601866.SH,中远海发,交通运输,一级行业
601952.SH,苏垦农发,农林牧渔,一级行业
603017.SH,中衡设计,建筑装饰,一级行业
601881.SH,中国银河,非银金融,一级行业
601872.SH,招商轮船,交通运输,一级行业
601717.SH,中创智领,机械设备,一级行业
601929.SH,吉视传媒,传媒,一级行业
603000.SH,人民网,传媒,一级行业
603008.SH,ST喜临门,轻工制造,一级行业
601816.SH,京沪高铁,交通运输,一级行业
601700.SH,风范股份,电力设备,一级行业
603025.SH,大豪科技,机械设备,一级行业
601985.SH,中国核电,公用事业,一级行业
603014.SH,威高血净,医药生物,一级行业
601858.SH,中国科传,传媒,一级行业
601886.SH,江河集团,建筑装饰,一级行业
601728.SH,中国电信,通信,一级行业
601798.SH,蓝科高新,机械设备,一级行业
601699.SH,潞安环能,煤炭,一级行业
601901.SH,方正证券,非银金融,一级行业
601999.SH,出版传媒,传媒,一级行业
601991.SH,大唐发电,公用事业,一级行业
601827.SH,三峰环境,环保,一级行业
