Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
300770.SZ,新媒股份,传媒,一级行业
300758.SZ,七彩化学,基础化工,一级行业
300774.SZ,倍杰特,环保,一级行业
300793.SZ,佳禾智能,电子,一级行业
300797.SZ,钢研纳克,社会服务,一级行业
300777.SZ,中简科技,国防军工,一级行业
300750.SZ,宁德时代,电力设备,一级行业
300760.SZ,迈瑞医疗,医药生物,一级行业
300783.SZ,三只松鼠,食品饮料,一级行业
300768.SZ,迪普科技,计算机,一级行业
300787.SZ,海能实业,电子,一级行业
300802.SZ,矩子科技,机械设备,一级行业
300792.SZ,壹网壹创,商贸零售,一级行业
300765.SZ,石药创新,医药生物,一级行业
300761.SZ,立华股份,农林牧渔,一级行业
300759.SZ,康龙化成,医药生物,一级行业
300796.SZ,贝斯美,基础化工,一级行业
300771.SZ,智莱科技,计算机,一级行业
300755.SZ,华致酒行,商贸零售,一级行业
300776.SZ,帝尔激光,电力设备,一级行业
300751.SZ,迈为股份,电力设备,一级行业
300782.SZ,卓胜微,电子,一级行业
300769.SZ,德方纳米,电力设备,一级行业
300786.SZ,国林科技,环保,一级行业
300801.SZ,泰和科技,基础化工,一级行业
300766.SZ,每日互动,计算机,一级行业
300791.SZ,仙乐健康,食品饮料,一级行业
300762.SZ,上海瀚讯,国防军工,一级行业
300772.SZ,运达股份,电力设备,一级行业
300795.SZ,米奥会展,社会服务,一级行业
300779.SZ,惠城环保,环保,一级行业
300775.SZ,三角防务,国防军工,一级行业
300756.SZ,金马游乐,机械设备,一级行业
300781.SZ,因赛集团,传媒,一级行业
300752.SZ,隆利科技,电子,一级行业
300785.SZ,值得买,传媒,一级行业
300789.SZ,唐源电气,计算机,一级行业
300800.SZ,力合科技,环保,一级行业
300767.SZ,震安科技,基础化工,一级行业
300790.SZ,宇瞳光学,计算机,一级行业
300763.SZ,锦浪科技,电力设备,一级行业
300773.SZ,拉卡拉,非银金融,一级行业
300757.SZ,罗博特科,机械设备,一级行业
300798.SZ,锦鸡股份,基础化工,一级行业
300753.SZ,爱朋医疗,医药生物,一级行业
300778.SZ,新城市,建筑装饰,一级行业
300780.SZ,德恩精工,机械设备,一级行业
300784.SZ,利安科技,电子,一级行业
300803.SZ,指南针,计算机,一级行业
300788.SZ,中信出版,传媒,一级行业
