Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
301272.SZ,英华特,机械设备,一级行业
301295.SZ,美硕科技,电力设备,一级行业
301276.SZ,嘉曼服饰,纺织服饰,一级行业
301266.SZ,宇邦新材,电力设备,一级行业
301291.SZ,明阳电气,电力设备,一级行业
301299.SZ,卓创资讯,传媒,一级行业
301256.SZ,华融化学,基础化工,一级行业
301281.SZ,科源制药,医药生物,一级行业
301262.SZ,海看股份,传媒,一级行业
301285.SZ,鸿日达,电子,一级行业
301252.SZ,同星科技,家用电器,一级行业
301289.SZ,国缆检测,社会服务,一级行业
301300.SZ,远翔新材,基础化工,一级行业
301296.SZ,新巨丰,轻工制造,一级行业
301269.SZ,华大九天,计算机,一级行业
301248.SZ,杰创智能,计算机,一级行业
301292.SZ,海科新源,电力设备,一级行业
301275.SZ,汉朔科技,电子,一级行业
301279.SZ,金道科技,机械设备,一级行业
301259.SZ,艾布鲁,环保,一级行业
301261.SZ,恒工精密,机械设备,一级行业
301238.SZ,瑞泰新材,电力设备,一级行业
301286.SZ,侨源股份,基础化工,一级行业
301255.SZ,通力科技,机械设备,一级行业
301265.SZ,华新科技,环保,一级行业
301282.SZ,金禄电子,电子,一级行业
301251.SZ,威尔高,电子,一级行业
301301.SZ,川宁生物,医药生物,一级行业
301297.SZ,富乐德,电子,一级行业
301268.SZ,铭利达,机械设备,一级行业
301293.SZ,三博脑科,医药生物,一级行业
301270.SZ,汉仪股份,计算机,一级行业
301278.SZ,快可电子,电力设备,一级行业
301260.SZ,格力博,机械设备,一级行业
301287.SZ,康力源,轻工制造,一级行业
301239.SZ,普瑞眼科,医药生物,一级行业
301258.SZ,富士莱,医药生物,一级行业
301283.SZ,聚胶股份,基础化工,一级行业
301290.SZ,东星医疗,医药生物,一级行业
301302.SZ,华如科技,国防军工,一级行业
301246.SZ,宏源药业,医药生物,一级行业
301298.SZ,东利机械,汽车,一级行业
301267.SZ,华厦眼科,医药生物,一级行业
301273.SZ,瑞晨环保,机械设备,一级行业
301277.SZ,新天地,医药生物,一级行业
301263.SZ,泰恩康,医药生物,一级行业
301280.SZ,珠城科技,家用电器,一级行业
301257.SZ,普蕊斯,医药生物,一级行业
301288.SZ,清研环境,环保,一级行业
301303.SZ,真兰仪表,机械设备,一级行业
