Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002334.SZ,英威腾,机械设备,一级行业
002335.SZ,科华数据,电力设备,一级行业
002337.SZ,赛象科技,机械设备,一级行业
002333.SZ,罗普斯金,建筑材料,一级行业
002332.SZ,仙琚制药,医药生物,一级行业
002340.SZ,格林美,电力设备,一级行业
002349.SZ,精华制药,医药生物,一级行业
002345.SZ,潮宏基,纺织服饰,一级行业
002348.SZ,高乐股份,轻工制造,一级行业
002346.SZ,柘中股份,电力设备,一级行业
002347.SZ,泰尔股份,机械设备,一级行业
002350.SZ,北京科锐,电力设备,一级行业
002343.SZ,慈文传媒,传媒,一级行业
002344.SZ,海宁皮城,商贸零售,一级行业
002351.SZ,漫步者,电子,一级行业
002342.SZ,巨力索具,机械设备,一级行业
002353.SZ,杰瑞股份,机械设备,一级行业
002352.SZ,顺丰控股,交通运输,一级行业
002338.SZ,奥普光电,国防军工,一级行业
002339.SZ,积成电子,电力设备,一级行业
