Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
300382.SZ,斯莱克,机械设备,一级行业
300418.SZ,昆仑万维,传媒,一级行业
300424.SZ,航新科技,国防军工,一级行业
300386.SZ,飞天诚信,计算机,一级行业
300408.SZ,三环集团,电子,一级行业
300401.SZ,花园生物,医药生物,一级行业
300420.SZ,五洋自控,机械设备,一级行业
300395.SZ,菲利华,国防军工,一级行业
300405.SZ,科隆股份,基础化工,一级行业
300428.SZ,立中集团,汽车,一级行业
300433.SZ,蓝思科技,电子,一级行业
300414.SZ,中光防雷,通信,一级行业
300399.SZ,天利科技,计算机,一级行业
300410.SZ,正业科技,电力设备,一级行业
300383.SZ,光环新网,通信,一级行业
300417.SZ,南华仪器,机械设备,一级行业
300423.SZ,昇辉科技,电力设备,一级行业
300387.SZ,富邦科技,基础化工,一级行业
300402.SZ,宝色股份,机械设备,一级行业
300406.SZ,九强生物,医药生物,一级行业
300430.SZ,*ST益通,医药生物,一级行业
300394.SZ,天孚通信,通信,一级行业
300427.SZ,红相股份,电力设备,一级行业
300390.SZ,天华新能,电力设备,一级行业
300398.SZ,飞凯材料,电子,一级行业
300413.SZ,芒果超媒,传媒,一级行业
300416.SZ,苏试试验,社会服务,一级行业
300384.SZ,三联虹普,建筑装饰,一级行业
300388.SZ,节能国祯,环保,一级行业
300426.SZ,华智数媒,传媒,一级行业
300403.SZ,汉宇集团,家用电器,一级行业
300422.SZ,博世科,环保,一级行业
300407.SZ,凯发电气,电力设备,一级行业
300412.SZ,迦南科技,机械设备,一级行业
300393.SZ,中来股份,电力设备,一级行业
300397.SZ,天和防务,国防军工,一级行业
300385.SZ,ST雪浪,环保,一级行业
300419.SZ,ST浩丰,计算机,一级行业
300381.SZ,溢多利,医药生物,一级行业
300389.SZ,艾比森,电子,一级行业
300400.SZ,劲拓股份,机械设备,一级行业
300425.SZ,中建环能,环保,一级行业
300409.SZ,道氏技术,电力设备,一级行业
300421.SZ,力星股份,机械设备,一级行业
300404.SZ,博济医药,医药生物,一级行业
300396.SZ,ST迪瑞,医药生物,一级行业
300429.SZ,强力新材,电子,一级行业
300432.SZ,富临精工,电力设备,一级行业
300415.SZ,伊之密,机械设备,一级行业
300411.SZ,金盾股份,机械设备,一级行业
