Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
601607.SH,上海医药,医药生物,一级行业
601229.SH,上海银行,银行,一级行业
601636.SH,旗滨集团,建筑材料,一级行业
601579.SH,会稽山,食品饮料,一级行业
601688.SH,华泰证券,非银金融,一级行业
601187.SH,厦门银行,银行,一级行业
601330.SH,绿色动力,环保,一级行业
601212.SH,白银有色,有色金属,一级行业
601155.SH,新城控股,房地产,一级行业
601616.SH,广电电气,电力设备,一级行业
601665.SH,齐鲁银行,银行,一级行业
601226.SH,华电科工,建筑装饰,一级行业
601599.SH,浙文影业,纺织服饰,一级行业
601518.SH,吉林高速,交通运输,一级行业
601169.SH,北京银行,银行,一级行业
601318.SH,中国平安,非银金融,一级行业
601515.SH,衢州东峰,轻工制造,一级行业
601567.SH,三星电气,电力设备,一级行业
601137.SH,博威合金,有色金属,一级行业
601588.SH,北辰实业,房地产,一级行业
601158.SH,重庆水务,环保,一级行业
601166.SH,兴业银行,银行,一级行业
601298.SH,青岛港,交通运输,一级行业
601628.SH,中国人寿,非银金融,一级行业
601208.SH,东材科技,基础化工,一级行业
601390.SH,中国中铁,建筑装饰,一级行业
601279.SH,英利汽车,汽车,一级行业
601686.SH,友发集团,钢铁,一级行业
601336.SH,新华保险,非银金融,一级行业
601611.SH,中国核建,建筑装饰,一级行业
601200.SH,上海环境,环保,一级行业
601398.SH,工商银行,银行,一级行业
601369.SH,陕鼓动力,机械设备,一级行业
601512.SH,中新集团,房地产,一级行业
601138.SH,工业富联,电子,一级行业
601528.SH,瑞丰银行,银行,一级行业
601199.SH,江南水务,环保,一级行业
601568.SH,北元化工,基础化工,一级行业
601333.SH,广深铁路,交通运输,一级行业
601608.SH,中信重工,机械设备,一级行业
601633.SH,长城汽车,汽车,一级行业
601658.SH,邮储银行,银行,一级行业
601228.SH,广州港,交通运输,一级行业
601375.SH,中原证券,非银金融,一级行业
601163.SH,三角轮胎,汽车,一级行业
601188.SH,龙江交通,交通运输,一级行业
601689.SH,拓普集团,汽车,一级行业
601319.SH,中国人保,非银金融,一级行业
601619.SH,嘉泽新能,公用事业,一级行业
601177.SH,杭齿前进,机械设备,一级行业
601225.SH,陕西煤业,煤炭,一级行业
601500.SH,通用股份,汽车,一级行业
601598.SH,中国外运,交通运输,一级行业
601678.SH,滨化股份,基础化工,一级行业
601168.SH,西部矿业,有色金属,一级行业
601311.SH,骆驼股份,电力设备,一级行业
601669.SH,中国电建,建筑装饰,一级行业
601216.SH,君正集团,基础化工,一级行业
601136.SH,首创证券,非银金融,一级行业
601566.SH,九牧王,纺织服饰,一级行业
601698.SH,中国卫通,国防军工,一级行业
601231.SH,环旭电子,电子,一级行业
601600.SH,中国铝业,有色金属,一级行业
601606.SH,长城军工,国防军工,一级行业
601377.SH,兴业证券,非银金融,一级行业
601339.SH,百隆东方,纺织服饰,一级行业
601222.SH,林洋能源,电力设备,一级行业
601186.SH,中国铁建,建筑装饰,一级行业
601595.SH,上海电影,传媒,一级行业
601288.SH,农业银行,银行,一级行业
601133.SH,柏诚股份,建筑装饰,一级行业
601366.SH,利群股份,商贸零售,一级行业
601666.SH,平煤股份,煤炭,一级行业
601236.SH,红塔证券,非银金融,一级行业
601328.SH,交通银行,银行,一级行业
601211.SH,国泰海通,非银金融,一级行业
601179.SH,中国西电,电力设备,一级行业
601609.SH,金田股份,有色金属,一级行业
601388.SH,怡球资源,有色金属,一级行业
601162.SH,天风证券,非银金融,一级行业
601519.SH,大智慧,计算机,一级行业
601615.SH,明阳智能,电力设备,一级行业
601577.SH,长沙银行,银行,一级行业
601618.SH,中国中冶,建筑装饰,一级行业
601218.SH,吉鑫科技,电力设备,一级行业
601233.SH,桐昆股份,石油石化,一级行业
601677.SH,明泰铝业,有色金属,一级行业
601696.SH,中银证券,非银金融,一级行业
601360.SH,三六零,计算机,一级行业
601555.SH,东吴证券,非银金融,一级行业
601156.SH,东航物流,交通运输,一级行业
601668.SH,中国建筑,建筑装饰,一级行业
601368.SH,绿城水务,环保,一级行业
601238.SH,广汽集团,汽车,一级行业
601326.SH,秦港股份,交通运输,一级行业
601399.SH,国机重装,机械设备,一级行业
601601.SH,中国太保,非银金融,一级行业
601139.SH,深圳燃气,公用事业,一级行业
601456.SH,国联民生,非银金融,一级行业
601198.SH,东兴证券,非银金融,一级行业
