Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
301115.SZ,联检科技,社会服务,一级行业
301119.SZ,正强股份,汽车,一级行业
301109.SZ,军信股份,环保,一级行业
301111.SZ,粤万年青,医药生物,一级行业
301077.SZ,星华新材,基础化工,一级行业
301096.SZ,百诚医药,医药生物,一级行业
301073.SZ,君亭酒店,社会服务,一级行业
301070.SZ,开勒股份,机械设备,一级行业
301101.SZ,明月镜片,轻工制造,一级行业
301105.SZ,鸿铭股份,机械设备,一级行业
301086.SZ,鸿富瀚,电子,一级行业
301120.SZ,新特电气,电力设备,一级行业
301082.SZ,久盛电气,电力设备,一级行业
301067.SZ,显盈科技,电子,一级行业
301118.SZ,恒光股份,基础化工,一级行业
301099.SZ,雅创电子,电子,一级行业
301110.SZ,青木科技,商贸零售,一级行业
301078.SZ,孩子王,商贸零售,一级行业
301095.SZ,广立微,计算机,一级行业
301092.SZ,争光股份,基础化工,一级行业
301068.SZ,大地海洋,环保,一级行业
301108.SZ,洁雅股份,美容护理,一级行业
301089.SZ,拓新药业,医药生物,一级行业
301100.SZ,风光股份,基础化工,一级行业
301085.SZ,亚康股份,计算机,一级行业
301081.SZ,严牌股份,环保,一级行业
301079.SZ,邵阳液压,机械设备,一级行业
301113.SZ,雅艺科技,轻工制造,一级行业
301117.SZ,ST佳缘,计算机,一级行业
301098.SZ,金埔园林,建筑装饰,一级行业
301071.SZ,力量钻石,基础化工,一级行业
301075.SZ,多瑞医药,医药生物,一级行业
301091.SZ,深城交,建筑装饰,一级行业
301103.SZ,何氏眼科,医药生物,一级行业
301107.SZ,瑜欣电子,机械设备,一级行业
301088.SZ,戎美股份,纺织服饰,一级行业
301069.SZ,凯盛新材,基础化工,一级行业
301080.SZ,百普赛斯,医药生物,一级行业
301112.SZ,信邦智能,机械设备,一级行业
301116.SZ,益客食品,农林牧渔,一级行业
301097.SZ,天益医疗,医药生物,一级行业
301072.SZ,中捷精工,汽车,一级行业
301090.SZ,华润材料,基础化工,一级行业
301076.SZ,新瀚新材,基础化工,一级行业
301093.SZ,华兰股份,医药生物,一级行业
301102.SZ,兆讯传媒,传媒,一级行业
301106.SZ,骏成科技,电子,一级行业
301087.SZ,可孚医疗,医药生物,一级行业
301066.SZ,万事利,纺织服饰,一级行业
301083.SZ,百胜智能,机械设备,一级行业
