Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
688102.SH,斯瑞新材,有色金属,一级行业
688039.SH,当虹科技,计算机,一级行业
688045.SH,必易微,电子,一级行业
688016.SH,心脉医疗,医药生物,一级行业
688022.SH,ST瀚川,机械设备,一级行业
688060.SH,云涌科技,计算机,一级行业
688083.SH,中望软件,计算机,一级行业
688068.SH,热景生物,医药生物,一级行业
688051.SH,佳华科技,计算机,一级行业
688007.SH,光峰科技,电子,一级行业
688036.SH,传音控股,电子,一级行业
688097.SH,博众精工,机械设备,一级行业
688059.SH,华锐精密,机械设备,一级行业
688019.SH,安集科技,电子,一级行业
688107.SH,安路科技,电子,一级行业
688011.SH,新光光电,国防军工,一级行业
688063.SH,派能科技,电力设备,一级行业
688088.SH,虹软科技,计算机,一级行业
688056.SH,莱伯泰科,机械设备,一级行业
688080.SH,映翰通,通信,一级行业
688010.SH,福光股份,电子,一级行业
688004.SH,博汇科技,计算机,一级行业
688025.SH,杰普特,机械设备,一级行业
688031.SH,星环科技-U,计算机,一级行业
688077.SH,大地熊,有色金属,一级行业
688066.SH,*ST航图,计算机,一级行业
688018.SH,乐鑫科技,电子,一级行业
605599.SH,菜百股份,纺织服饰,一级行业
688047.SH,龙芯中科,电子,一级行业
688089.SH,ST嘉必优,基础化工,一级行业
688005.SH,容百科技,电力设备,一级行业
688030.SH,山石网科,计算机,一级行业
688053.SH,ST思科瑞,国防军工,一级行业
688081.SH,兴图新科,国防军工,一级行业
688038.SH,中科通达,计算机,一级行业
688072.SH,拓荆科技,电子,一级行业
688110.SH,东芯股份,电子,一级行业
688095.SH,福昕软件,计算机,一级行业
688101.SH,三达膜,环保,一级行业
688092.SH,爱科科技,机械设备,一级行业
688013.SH,天臣医疗,医药生物,一级行业
688061.SH,灿瑞科技,电子,一级行业
688069.SH,德林海,环保,一级行业
688033.SH,*ST天宜,机械设备,一级行业
688002.SH,睿创微纳,电子,一级行业
688027.SH,国盾量子,通信,一级行业
688050.SH,爱博医疗,医药生物,一级行业
688058.SH,宝兰德,计算机,一级行业
688075.SH,安旭生物,医药生物,一级行业
688070.SH,纵横股份,国防军工,一级行业
688041.SH,海光信息,电子,一级行业
688012.SH,中微公司,电子,一级行业
688049.SH,炬芯科技,电子,一级行业
688106.SH,金宏气体,电子,一级行业
688087.SH,英科再生,轻工制造,一级行业
688078.SH,龙软科技,计算机,一级行业
688112.SH,鼎阳科技,机械设备,一级行业
688055.SH,龙腾光电,电子,一级行业
688003.SH,天准科技,机械设备,一级行业
688026.SH,洁特生物,医药生物,一级行业
688109.SH,品茗科技,计算机,一级行业
688032.SH,禾迈股份,电力设备,一级行业
688093.SH,世华科技,电子,一级行业
688067.SH,爱威科技,医药生物,一级行业
688090.SH,瑞松科技,机械设备,一级行业
688103.SH,国力电子,电子,一级行业
688021.SH,奥福科技,汽车,一级行业
688015.SH,交控科技,机械设备,一级行业
688084.SH,晶品特装,国防军工,一级行业
688046.SH,药康生物,医药生物,一级行业
688029.SH,南微医学,医药生物,一级行业
688008.SH,澜起科技,电子,一级行业
688052.SH,纳芯微,电子,一级行业
688073.SH,毕得医药,医药生物,一级行业
688035.SH,德邦科技,电子,一级行业
688098.SH,申联生物,农林牧渔,一级行业
688091.SH,上海谊众,医药生物,一级行业
688020.SH,方邦股份,电子,一级行业
688085.SH,三友医疗,医药生物,一级行业
688062.SH,迈威生物-U,医药生物,一级行业
688108.SH,赛诺医疗,医药生物,一级行业
688100.SH,威胜信息,通信,一级行业
688028.SH,沃尔德,机械设备,一级行业
688009.SH,中国通号,机械设备,一级行业
688001.SH,华兴源创,机械设备,一级行业
688057.SH,金达莱,环保,一级行业
688076.SH,ST诺泰,医药生物,一级行业
688099.SH,晶晨股份,电子,一级行业
688017.SH,绿的谐波,机械设备,一级行业
688065.SH,凯赛生物,基础化工,一级行业
688023.SH,安恒信息,计算机,一级行业
688048.SH,长光华芯,电子,一级行业
688105.SH,诺唯赞,医药生物,一级行业
688082.SH,盛美上海,电子,一级行业
688006.SH,杭可科技,电力设备,一级行业
688037.SH,芯源微,电子,一级行业
688071.SH,华依科技,机械设备,一级行业
688111.SH,金山办公,计算机,一级行业
688079.SH,美迪凯,电子,一级行业
688096.SH,京源环保,环保,一级行业
