Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002491.SZ,通鼎互联,通信,一级行业
002501.SZ,*ST利源,有色金属,一级行业
002492.SZ,恒基达鑫,交通运输,一级行业
002489.SZ,浙江永强,轻工制造,一级行业
002493.SZ,荣盛石化,石油石化,一级行业
002500.SZ,山西证券,非银金融,一级行业
002488.SZ,金固股份,汽车,一级行业
002494.SZ,华斯股份,纺织服饰,一级行业
002490.SZ,山东墨龙,机械设备,一级行业
002497.SZ,雅化集团,基础化工,一级行业
002498.SZ,汉缆股份,电力设备,一级行业
002495.SZ,佳隆股份,食品饮料,一级行业
002496.SZ,辉丰股份,基础化工,一级行业
002485.SZ,ST雪发,交通运输,一级行业
002507.SZ,涪陵榨菜,食品饮料,一级行业
002484.SZ,江海股份,电子,一级行业
002486.SZ,嘉麟杰,纺织服饰,一级行业
002487.SZ,大金重工,电力设备,一级行业
002508.SZ,老板电器,家用电器,一级行业
002506.SZ,协鑫集成,电力设备,一级行业
