Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002119.SZ,康强电子,电子,一级行业
002101.SZ,广东鸿图,汽车,一级行业
002102.SZ,ST能特,医药生物,一级行业
002100.SZ,天康生物,农林牧渔,一级行业
002109.SZ,ST兴化,基础化工,一级行业
002103.SZ,广博股份,轻工制造,一级行业
002104.SZ,恒宝股份,通信,一级行业
002105.SZ,信隆健康,汽车,一级行业
002108.SZ,沧州明珠,基础化工,一级行业
002106.SZ,莱宝高科,电子,一级行业
002107.SZ,沃华医药,医药生物,一级行业
002098.SZ,浔兴股份,纺织服饰,一级行业
002112.SZ,三变科技,电力设备,一级行业
002099.SZ,海翔药业,医药生物,一级行业
002110.SZ,三钢闽光,钢铁,一级行业
002111.SZ,威海广泰,国防军工,一级行业
002114.SZ,罗平锌电,有色金属,一级行业
002117.SZ,东港股份,轻工制造,一级行业
002115.SZ,三维通信,通信,一级行业
002116.SZ,中国海诚,建筑装饰,一级行业
