Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002574.SZ,明牌珠宝,纺织服饰,一级行业
002575.SZ,群兴玩具,综合,一级行业
002573.SZ,清新环境,环保,一级行业
002572.SZ,索菲亚,轻工制造,一级行业
002577.SZ,雷柏科技,计算机,一级行业
002576.SZ,通达动力,电力设备,一级行业
002578.SZ,闽发铝业,有色金属,一级行业
002579.SZ,中京电子,电子,一级行业
002571.SZ,德力股份,轻工制造,一级行业
002586.SZ,围海股份,建筑装饰,一级行业
002589.SZ,瑞康医药,医药生物,一级行业
002590.SZ,万安科技,汽车,一级行业
002583.SZ,海能达,通信,一级行业
002584.SZ,西陇科学,电子,一级行业
002585.SZ,双星新材,基础化工,一级行业
002588.SZ,史丹利,基础化工,一级行业
002587.SZ,奥拓电子,电子,一级行业
002581.SZ,*ST未名,医药生物,一级行业
002582.SZ,好想你,食品饮料,一级行业
002580.SZ,圣阳股份,电力设备,一级行业
