Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
301629.SZ,矽电股份,电子,一级行业
301677.SZ,欣兴工具,机械设备,一级行业
301606.SZ,绿联科技,电子,一级行业
301631.SZ,壹连科技,汽车,一级行业
301658.SZ,首航新能,电力设备,一级行业
301583.SZ,托伦斯,电子,一级行业
301616.SZ,浙江华业,机械设备,一级行业
301667.SZ,纳百川,汽车,一级行业
301602.SZ,超研股份,医药生物,一级行业
301587.SZ,中瑞股份,电力设备,一级行业
301678.SZ,新恒汇,电子,一级行业
301632.SZ,广东建科,社会服务,一级行业
301626.SZ,苏州天脉,电子,一级行业
301680.SZ,固德电材,汽车,一级行业
301611.SZ,珂玛科技,电子,一级行业
301636.SZ,泽润新能,电力设备,一级行业
301592.SZ,六九一二,国防军工,一级行业
301596.SZ,瑞迪智驱,机械设备,一级行业
301668.SZ,昊创瑞通,电力设备,一级行业
301609.SZ,山大电力,电力设备,一级行业
301622.SZ,英思特,有色金属,一级行业
301586.SZ,佳力奇,国防军工,一级行业
301601.SZ,惠通科技,机械设备,一级行业
301595.SZ,太力科技,轻工制造,一级行业
301656.SZ,联合动力,汽车,一级行业
301591.SZ,肯特股份,基础化工,一级行业
301633.SZ,港迪技术,机械设备,一级行业
301599.SZ,理奇智能,电力设备,一级行业
301618.SZ,长联科技,基础化工,一级行业
301669.SZ,高特电子,电力设备,一级行业
301665.SZ,泰禾股份,基础化工,一级行业
301608.SZ,博实结,计算机,一级行业
301585.SZ,蓝宇股份,基础化工,一级行业
301589.SZ,诺瓦星云,计算机,一级行业
301600.SZ,慧翰股份,计算机,一级行业
301630.SZ,同宇新材,电子,一级行业
301628.SZ,强达电路,电子,一级行业
301607.SZ,富特科技,汽车,一级行业
301655.SZ,绿控传动,汽车,一级行业
301682.SZ,宏明电子,国防军工,一级行业
301613.SZ,新铝时代,汽车,一级行业
301590.SZ,优优绿能,电力设备,一级行业
301598.SZ,博科测试,机械设备,一级行业
301617.SZ,博苑新材,基础化工,一级行业
301666.SZ,大普微-UW,电子,一级行业
301584.SZ,建发致新,医药生物,一级行业
301638.SZ,南网数字,计算机,一级行业
301662.SZ,宏工科技,电力设备,一级行业
301588.SZ,美新科技,轻工制造,一级行业
301603.SZ,乔锋智能,机械设备,一级行业
