Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
688125.SH,安达智能,机械设备,一级行业
688177.SH,百奥泰,医药生物,一级行业
688148.SH,芳源股份,电力设备,一级行业
688192.SH,迪哲医药-U,医药生物,一级行业
688211.SH,中科微至,机械设备,一级行业
688116.SH,天奈科技,电力设备,一级行业
688160.SH,步科股份,机械设备,一级行业
688183.SH,生益电子,电子,一级行业
688139.SH,海尔生物,医药生物,一级行业
688168.SH,安博通,计算机,一级行业
688202.SH,美迪西,医药生物,一级行业
688131.SH,皓元医药,医药生物,一级行业
688225.SH,亚信安全,计算机,一级行业
688208.SH,道通科技,计算机,一级行业
688151.SH,华强科技,医药生物,一级行业
688197.SH,首药控股-U,医药生物,一级行业
688128.SH,中国电研,机械设备,一级行业
688172.SH,燕东微,电子,一级行业
688120.SH,华海清科,电子,一级行业
688216.SH,气派科技,电子,一级行业
688113.SH,联测科技,机械设备,一级行业
688186.SH,广大特材,电力设备,一级行业
688219.SH,会通股份,基础化工,一级行业
688165.SH,埃夫特-U,机械设备,一级行业
688159.SH,有方科技,通信,一级行业
688205.SH,德科立,通信,一级行业
688222.SH,成都先导,医药生物,一级行业
688123.SH,聚辰股份,电子,一级行业
688152.SH,麒麟信安,计算机,一级行业
688146.SH,中船特气,电子,一级行业
688171.SH,纬德信息,计算机,一级行业
688179.SH,阿拉丁,基础化工,一级行业
688217.SH,睿昂基因,医药生物,一级行业
688137.SH,近岸蛋白,医药生物,一级行业
688185.SH,康希诺,医药生物,一级行业
688166.SH,博瑞医药,医药生物,一级行业
688118.SH,普元信息,计算机,一级行业
688200.SH,华峰测控,电子,一级行业
688223.SH,晶科能源,电力设备,一级行业
688126.SH,沪硅产业,电子,一级行业
688199.SH,久日新材,基础化工,一级行业
688180.SH,君实生物-U,医药生物,一级行业
688143.SH,长盈通,通信,一级行业
688115.SH,思林杰,机械设备,一级行业
688188.SH,柏楚电子,计算机,一级行业
688191.SH,智洋创新,电力设备,一级行业
688157.SH,松井股份,基础化工,一级行业
688163.SH,赛伦生物,医药生物,一级行业
688132.SH,邦彦技术,国防军工,一级行业
688203.SH,海正生材,基础化工,一级行业
688220.SH,翱捷科技-U,电子,一级行业
688150.SH,莱特光电,电子,一级行业
688209.SH,英集芯,电子,一级行业
688196.SH,卓越新能,基础化工,一级行业
688173.SH,希荻微,电子,一级行业
688129.SH,东来技术,基础化工,一级行业
688215.SH,瑞晟智能,机械设备,一级行业
688121.SH,*ST卓然,机械设备,一级行业
688221.SH,前沿生物-U,医药生物,一级行业
688187.SH,时代电气,机械设备,一级行业
688141.SH,杰华特,电子,一级行业
688135.SH,利扬芯片,电子,一级行业
688158.SH,优刻得-W,计算机,一级行业
688206.SH,概伦电子,计算机,一级行业
688176.SH,亚虹医药-U,医药生物,一级行业
688155.SH,先惠技术,电力设备,一级行业
688193.SH,仁度生物,医药生物,一级行业
688212.SH,澳华内镜,医药生物,一级行业
688117.SH,圣诺生物,医药生物,一级行业
688161.SH,威高骨科,医药生物,一级行业
688182.SH,灿勤科技,通信,一级行业
688138.SH,清溢光电,电子,一级行业
688226.SH,威腾电气,电力设备,一级行业
688169.SH,石头科技,家用电器,一级行业
688130.SH,晶华微,电子,一级行业
688201.SH,ST信安,计算机,一级行业
688198.SH,佰仁医疗,医药生物,一级行业
688175.SH,高凌信息,国防军工,一级行业
688127.SH,蓝特光学,电子,一级行业
688156.SH,路德科技,农林牧渔,一级行业
688213.SH,思特威-W,电子,一级行业
688162.SH,巨一科技,机械设备,一级行业
688114.SH,华大智造,医药生物,一级行业
688190.SH,云路股份,有色金属,一级行业
688181.SH,八亿时空,电子,一级行业
688133.SH,泰坦科技,基础化工,一级行业
688189.SH,ST南新,医药生物,一级行业
688210.SH,统联精密,电子,一级行业
688153.SH,唯捷创芯,电子,一级行业
688170.SH,德龙激光,机械设备,一级行业
688147.SH,微导纳米,电力设备,一级行业
688122.SH,西部超导,国防军工,一级行业
688178.SH,万德斯,环保,一级行业
688195.SH,腾景科技,电子,一级行业
688218.SH,江苏北人,机械设备,一级行业
688184.SH,ST帕瓦,电力设备,一级行业
688136.SH,科兴制药,医药生物,一级行业
688119.SH,中钢洛耐,建筑材料,一级行业
688167.SH,炬光科技,电子,一级行业
688207.SH,格灵深瞳,计算机,一级行业
