Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
300168.SZ,万达信息,计算机,一级行业
300122.SZ,智飞生物,医药生物,一级行业
300183.SZ,东软载波,通信,一级行业
300145.SZ,南方泵业,机械设备,一级行业
300160.SZ,秀强股份,家用电器,一级行业
300131.SZ,英唐智控,电子,一级行业
300177.SZ,中海达,国防军工,一级行业
300139.SZ,晓程科技,有色金属,一级行业
300154.SZ,瑞凌股份,机械设备,一级行业
300192.SZ,科德教育,社会服务,一级行业
300205.SZ,*ST天喻,通信,一级行业
300148.SZ,天舟文化,传媒,一级行业
300102.SZ,乾照光电,电子,一级行业
300165.SZ,天瑞仪器,机械设备,一级行业
300140.SZ,节能环境,环保,一级行业
300127.SZ,银河磁体,有色金属,一级行业
300107.SZ,建新股份,基础化工,一级行业
300113.SZ,顺网科技,传媒,一级行业
300197.SZ,节能铁汉,建筑装饰,一级行业
300159.SZ,新研股份,机械设备,一级行业
300134.SZ,大富科技,通信,一级行业
300172.SZ,中电环保,环保,一级行业
300151.SZ,昌红科技,机械设备,一级行业
300166.SZ,东方国信,计算机,一级行业
300191.SZ,潜能恒信,石油石化,一级行业
300200.SZ,高盟新材,基础化工,一级行业
300101.SZ,振芯科技,国防军工,一级行业
300124.SZ,汇川技术,机械设备,一级行业
300185.SZ,通裕重工,电力设备,一级行业
300143.SZ,盈康生命,医药生物,一级行业
300179.SZ,四方达,机械设备,一级行业
300110.SZ,华仁药业,医药生物,一级行业
300137.SZ,先河环保,环保,一级行业
300171.SZ,东富龙,医药生物,一级行业
300118.SZ,东方日升,电力设备,一级行业
300152.SZ,*ST动力,环保,一级行业
300121.SZ,阳谷华泰,基础化工,一级行业
300194.SZ,福安药业,医药生物,一级行业
300188.SZ,国投智能,计算机,一级行业
300203.SZ,聚光科技,环保,一级行业
300163.SZ,先锋新材,基础化工,一级行业
300109.SZ,新开源,基础化工,一级行业
300146.SZ,汤臣倍健,食品饮料,一级行业
300129.SZ,泰胜风能,电力设备,一级行业
300132.SZ,诺斯贝尔,美容护理,一级行业
300180.SZ,华峰超纤,基础化工,一级行业
300157.SZ,新锦动力,机械设备,一级行业
300199.SZ,翰宇药业,医药生物,一级行业
300174.SZ,元力股份,基础化工,一级行业
300115.SZ,长盈精密,电子,一级行业
300193.SZ,佳士科技,机械设备,一级行业
300206.SZ,理邦仪器,医药生物,一级行业
300149.SZ,睿智医药,医药生物,一级行业
300187.SZ,永清环保,环保,一级行业
300103.SZ,达刚控股,机械设备,一级行业
300141.SZ,和顺电气,电力设备,一级行业
300164.SZ,通源石油,石油石化,一级行业
300126.SZ,锐奇股份,机械设备,一级行业
300106.SZ,西部牧业,食品饮料,一级行业
300173.SZ,ST福能,电力设备,一级行业
300112.SZ,万讯自控,机械设备,一级行业
300158.SZ,振东制药,医药生物,一级行业
300190.SZ,维尔利,环保,一级行业
300135.SZ,宝利国际,石油石化,一级行业
300169.SZ,天晟新材,基础化工,一级行业
300196.SZ,长海股份,建筑材料,一级行业
300201.SZ,海伦哲,机械设备,一级行业
300123.SZ,ST亚光,国防军工,一级行业
300144.SZ,宋城演艺,社会服务,一级行业
300161.SZ,华中数控,机械设备,一级行业
300155.SZ,安居宝,计算机,一级行业
300130.SZ,新国都,计算机,一级行业
300182.SZ,捷成股份,传媒,一级行业
300138.SZ,晨光生物,农林牧渔,一级行业
300176.SZ,鸿特科技,汽车,一级行业
300209.SZ,行云科技,计算机,一级行业
300120.SZ,经纬辉开,电子,一级行业
300189.SZ,神农种业,农林牧渔,一级行业
300195.SZ,长荣股份,机械设备,一级行业
300204.SZ,舒泰神,医药生物,一级行业
300162.SZ,雷曼光电,电子,一级行业
300128.SZ,锦富技术,电子,一级行业
300147.SZ,*ST香雪,医药生物,一级行业
300181.SZ,佐力药业,医药生物,一级行业
300198.SZ,*ST纳川,建筑材料,一级行业
300175.SZ,朗源股份,农林牧渔,一级行业
300133.SZ,华策影视,传媒,一级行业
300167.SZ,ST迪威迅,计算机,一级行业
300125.SZ,聆达股份,公用事业,一级行业
300100.SZ,双林股份,汽车,一级行业
300184.SZ,力源信息,电子,一级行业
300142.SZ,沃森生物,医药生物,一级行业
300105.SZ,龙源技术,环保,一级行业
300210.SZ,森远股份,环保,一级行业
300207.SZ,欣旺达,电力设备,一级行业
300111.SZ,向日葵,医药生物,一级行业
300153.SZ,科泰电源,电力设备,一级行业
300170.SZ,汉得信息,计算机,一级行业
300119.SZ,瑞普生物,农林牧渔,一级行业
300136.SZ,信维通信,电子,一级行业
