Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
001280.SZ,中国铀业,有色金属,一级行业
001207.SZ,联科科技,基础化工,一级行业
000965.SZ,天保基建,房地产,一级行业
001259.SZ,利仁科技,家用电器,一级行业
000988.SZ,华工科技,机械设备,一级行业
001213.SZ,中铁特货,交通运输,一级行业
001236.SZ,弘业期货,非银金融,一级行业
000959.SZ,首钢股份,钢铁,一级行业
001268.SZ,联合精密,家用电器,一级行业
001260.SZ,坤泰股份,汽车,一级行业
000980.SZ,众泰汽车,汽车,一级行业
001222.SZ,源飞宠物,轻工制造,一级行业
001316.SZ,润贝航科,石油石化,一级行业
001231.SZ,农心科技,基础化工,一级行业
001313.SZ,粤海饲料,农林牧渔,一级行业
001283.SZ,豪鹏科技,电力设备,一级行业
000968.SZ,蓝焰控股,石油石化,一级行业
000985.SZ,大庆华科,石油石化,一级行业
001277.SZ,速达股份,机械设备,一级行业
001256.SZ,炜冈科技,机械设备,一级行业
001210.SZ,金房能源,公用事业,一级行业
001218.SZ,丽臣实业,基础化工,一级行业
001239.SZ,永达股份,机械设备,一级行业
001288.SZ,运机集团,机械设备,一级行业
000999.SZ,华润三九,医药生物,一级行业
001225.SZ,和泰机电,机械设备,一级行业
000960.SZ,锡业股份,有色金属,一级行业
001205.SZ,盛航股份,交通运输,一级行业
001230.SZ,劲旅环境,环保,一级行业
000963.SZ,华东医药,医药生物,一级行业
001286.SZ,陕西能源,公用事业,一级行业
001211.SZ,双枪科技,轻工制造,一级行业
000977.SZ,浪潮信息,计算机,一级行业
001219.SZ,青岛食品,食品饮料,一级行业
001289.SZ,龙源电力,公用事业,一级行业
001238.SZ,浙江正特,轻工制造,一级行业
001266.SZ,宏英智能,机械设备,一级行业
000966.SZ,长源电力,公用事业,一级行业
001233.SZ,海安集团,汽车,一级行业
001227.SZ,兰州银行,银行,一级行业
001258.SZ,立新能源,公用事业,一级行业
000972.SZ,中基健康,农林牧渔,一级行业
001309.SZ,德明利,电子,一级行业
001216.SZ,华瓷股份,轻工制造,一级行业
001301.SZ,尚太科技,电力设备,一级行业
001269.SZ,欧晶科技,电力设备,一级行业
000997.SZ,新大陆,计算机,一级行业
000983.SZ,山西焦煤,煤炭,一级行业
001202.SZ,炬申股份,交通运输,一级行业
001255.SZ,博菲电气,基础化工,一级行业
001278.SZ,一彬科技,汽车,一级行业
001232.SZ,嘉立创,电子,一级行业
000990.SZ,诚志股份,基础化工,一级行业
001306.SZ,夏厦精密,机械设备,一级行业
000975.SZ,山金国际,有色金属,一级行业
001217.SZ,华尔泰,基础化工,一级行业
000998.SZ,隆平高科,农林牧渔,一级行业
001270.SZ,铖昌科技,国防军工,一级行业
000969.SZ,安泰科技,有色金属,一级行业
001226.SZ,拓山重工,机械设备,一级行业
001203.SZ,大中矿业,钢铁,一级行业
001312.SZ,福恩股份,纺织服饰,一级行业
001229.SZ,魅视科技,计算机,一级行业
001208.SZ,华菱线缆,电力设备,一级行业
000989.SZ,九芝堂,医药生物,一级行业
000958.SZ,电投产融,公用事业,一级行业
000995.SZ,皇台酒业,食品饮料,一级行业
000970.SZ,中科三环,有色金属,一级行业
001287.SZ,中电港,电子,一级行业
001267.SZ,汇绿生态,通信,一级行业
000978.SZ,桂林旅游,社会服务,一级行业
000981.SZ,山子高科,汽车,一级行业
001298.SZ,好上好,电子,一级行业
001221.SZ,悍高集团,轻工制造,一级行业
001314.SZ,亿道信息,电子,一级行业
000967.SZ,盈峰环境,环保,一级行业
001209.SZ,洪兴股份,纺织服饰,一级行业
001234.SZ,泰慕士,纺织服饰,一级行业
001228.SZ,永泰运,交通运输,一级行业
001257.SZ,盛龙股份,有色金属,一级行业
001282.SZ,三联锻造,汽车,一级行业
000973.SZ,佛塑科技,基础化工,一级行业
001215.SZ,千味央厨,食品饮料,一级行业
001308.SZ,康冠科技,电子,一级行业
001300.SZ,三柏硕,轻工制造,一级行业
001299.SZ,美能能源,公用事业,一级行业
001220.SZ,世盟股份,交通运输,一级行业
001201.SZ,东瑞股份,农林牧渔,一级行业
001206.SZ,依依股份,美容护理,一级行业
001279.SZ,强邦新材,轻工制造,一级行业
000993.SZ,闽东电力,公用事业,一级行业
000987.SZ,越秀资本,非银金融,一级行业
001212.SZ,中旗新材,建筑材料,一级行业
001237.SZ,惠康科技,机械设备,一级行业
001285.SZ,瑞立科密,汽车,一级行业
001248.SZ,华润新能源,公用事业,一级行业
001223.SZ,欧克科技,机械设备,一级行业
001296.SZ,长江材料,基础化工,一级行业
000962.SZ,东方钽业,有色金属,一级行业
001311.SZ,多利科技,汽车,一级行业
