Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
002607.SZ,中公教育,社会服务,一级行业
002659.SZ,凯文教育,社会服务,一级行业
002594.SZ,比亚迪,汽车,一级行业
002688.SZ,金河生物,农林牧渔,一级行业
002642.SZ,荣联科技,计算机,一级行业
002645.SZ,华宏科技,环保,一级行业
002622.SZ,皓宸医疗,医药生物,一级行业
002697.SZ,红旗连锁,商贸零售,一级行业
002651.SZ,利君股份,国防军工,一级行业
002613.SZ,北玻股份,建筑材料,一级行业
002636.SZ,金安国纪,电子,一级行业
002674.SZ,兴业科技,纺织服饰,一级行业
002599.SZ,盛通股份,轻工制造,一级行业
002683.SZ,广东宏大,基础化工,一级行业
002631.SZ,德尔未来,轻工制造,一级行业
002625.SZ,光启技术,国防军工,一级行业
002662.SZ,峰璟股份,汽车,一级行业
002694.SZ,*ST顾地,建筑材料,一级行业
002591.SZ,恒大高新,基础化工,一级行业
002639.SZ,雪人集团,机械设备,一级行业
002677.SZ,浙江美大,家用电器,一级行业
002656.SZ,摩登大道,纺织服饰,一级行业
002657.SZ,中科金财,计算机,一级行业
002682.SZ,龙洲股份,交通运输,一级行业
002609.SZ,捷顺科技,计算机,一级行业
002634.SZ,*ST棒杰,纺织服饰,一级行业
002640.SZ,跨境通,商贸零售,一级行业
002592.SZ,ST八菱,汽车,一级行业
002628.SZ,成都路桥,建筑装饰,一级行业
002663.SZ,普邦股份,建筑装饰,一级行业
002620.SZ,*ST瑞和,建筑装饰,一级行业
002601.SZ,龙佰集团,基础化工,一级行业
002615.SZ,哈尔斯,轻工制造,一级行业
002676.SZ,顺威股份,家用电器,一级行业
002691.SZ,*ST冀凯,机械设备,一级行业
002606.SZ,大连电瓷,电力设备,一级行业
002679.SZ,福建金森,农林牧渔,一级行业
002612.SZ,朗姿股份,纺织服饰,一级行业
002597.SZ,金禾实业,基础化工,一级行业
002648.SZ,卫星化学,基础化工,一级行业
002685.SZ,华东重机,机械设备,一级行业
002643.SZ,万润股份,电子,一级行业
002660.SZ,茂硕电源,电子,一级行业
002623.SZ,亚玛顿,电力设备,一级行业
002668.SZ,TCL智家,家用电器,一级行业
002696.SZ,百洋股份,农林牧渔,一级行业
002637.SZ,赞宇科技,基础化工,一级行业
002654.SZ,万润科技,电子,一级行业
002671.SZ,龙泉股份,建筑材料,一级行业
002598.SZ,ST章鼓,机械设备,一级行业
002632.SZ,道明光学,基础化工,一级行业
002603.SZ,以岭药业,医药生物,一级行业
002626.SZ,金达威,食品饮料,一级行业
002661.SZ,克明食品,食品饮料,一级行业
002649.SZ,博彦科技,计算机,一级行业
002669.SZ,康达新材,基础化工,一级行业
002670.SZ,国盛证券,非银金融,一级行业
002693.SZ,双成药业,医药生物,一级行业
002678.SZ,珠江钢琴,轻工制造,一级行业
002617.SZ,露笑科技,公用事业,一级行业
002655.SZ,共达电声,电子,一级行业
002608.SZ,江苏国信,公用事业,一级行业
002595.SZ,豪迈科技,机械设备,一级行业
002641.SZ,公元股份,建筑材料,一级行业
002687.SZ,乔治白,纺织服饰,一级行业
002666.SZ,德联集团,基础化工,一级行业
002629.SZ,仁智股份,石油石化,一级行业
002646.SZ,天佑德酒,食品饮料,一级行业
002600.SZ,领益智造,电子,一级行业
002698.SZ,博实股份,机械设备,一级行业
002652.SZ,扬子新材,建筑材料,一级行业
002614.SZ,奥佳华,家用电器,一级行业
002673.SZ,西部证券,非银金融,一级行业
002635.SZ,安洁科技,电子,一级行业
002690.SZ,美亚光电,机械设备,一级行业
002611.SZ,东方精工,机械设备,一级行业
002596.SZ,海南瑞泽,建筑材料,一级行业
002605.SZ,姚记科技,传媒,一级行业
002686.SZ,亿利达,机械设备,一级行业
002624.SZ,完美世界,传媒,一级行业
002667.SZ,*ST威领,机械设备,一级行业
002644.SZ,佛慈制药,医药生物,一级行业
002647.SZ,仁东控股,非银金融,一级行业
002695.SZ,煌上煌,食品饮料,一级行业
002630.SZ,*ST华西,电力设备,一级行业
002653.SZ,海思科,医药生物,一级行业
002672.SZ,东江环保,环保,一级行业
002638.SZ,勤上股份,家用电器,一级行业
002633.SZ,申科股份,机械设备,一级行业
002658.SZ,雪迪龙,环保,一级行业
002593.SZ,日上集团,建筑装饰,一级行业
002627.SZ,三峡旅游,社会服务,一级行业
002664.SZ,信质集团,汽车,一级行业
002602.SZ,世纪华通,传媒,一级行业
002689.SZ,ST远智,机械设备,一级行业
002681.SZ,奋达科技,电子,一级行业
002675.SZ,东诚药业,医药生物,一级行业
002616.SZ,长青集团,公用事业,一级行业
002650.SZ,ST加加,食品饮料,一级行业
002692.SZ,远程股份,电力设备,一级行业
