Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002551.SZ,尚荣医疗,医药生物,一级行业
002552.SZ,宝鼎科技,电子,一级行业
002569.SZ,*ST步森,纺织服饰,一级行业
002556.SZ,辉隆股份,农林牧渔,一级行业
002557.SZ,洽洽食品,食品饮料,一级行业
002570.SZ,贝因美,食品饮料,一级行业
002554.SZ,惠博普,石油石化,一级行业
002555.SZ,三七互娱,传媒,一级行业
002553.SZ,南方精工,汽车,一级行业
002562.SZ,兄弟科技,基础化工,一级行业
002561.SZ,徐家汇,商贸零售,一级行业
002564.SZ,天沃科技,机械设备,一级行业
002563.SZ,森马服饰,纺织服饰,一级行业
002565.SZ,顺灏股份,轻工制造,一级行业
002558.SZ,巨人网络,传媒,一级行业
002559.SZ,亚威股份,机械设备,一级行业
002566.SZ,益盛药业,医药生物,一级行业
002568.SZ,百润股份,食品饮料,一级行业
002567.SZ,唐人神,农林牧渔,一级行业
002560.SZ,通达股份,电力设备,一级行业
