Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
300688.SZ,创业黑马,社会服务,一级行业
300661.SZ,圣邦股份,电子,一级行业
300680.SZ,隆盛科技,汽车,一级行业
300665.SZ,飞鹿股份,基础化工,一级行业
300684.SZ,中石科技,电子,一级行业
300649.SZ,杭州园林,建筑装饰,一级行业
300645.SZ,正元智慧,计算机,一级行业
300669.SZ,沪宁股份,机械设备,一级行业
300670.SZ,大烨智能,电力设备,一级行业
300651.SZ,金陵体育,轻工制造,一级行业
300655.SZ,晶瑞电材,电子,一级行业
300678.SZ,中科信息,计算机,一级行业
300659.SZ,中孚信息,计算机,一级行业
300693.SZ,盛弘股份,电力设备,一级行业
300674.SZ,宇信科技,计算机,一级行业
300687.SZ,赛意信息,计算机,一级行业
300662.SZ,科锐国际,社会服务,一级行业
300666.SZ,江丰电子,电子,一级行业
300683.SZ,海特生物,医药生物,一级行业
300652.SZ,雷迪克,汽车,一级行业
300673.SZ,佩蒂股份,农林牧渔,一级行业
300656.SZ,民德电子,电子,一级行业
300677.SZ,英科医疗,医药生物,一级行业
300690.SZ,双一科技,电力设备,一级行业
300663.SZ,科蓝软件,计算机,一级行业
300686.SZ,智动力,电子,一级行业
300647.SZ,超频三,电子,一级行业
300667.SZ,必创科技,机械设备,一级行业
300682.SZ,朗新科技,计算机,一级行业
300643.SZ,万通智控,汽车,一级行业
300676.SZ,华大基因,医药生物,一级行业
300653.SZ,正海生物,医药生物,一级行业
300672.SZ,国科微,电子,一级行业
300657.SZ,弘信电子,电子,一级行业
300691.SZ,联合光电,计算机,一级行业
300660.SZ,江苏雷利,电力设备,一级行业
300664.SZ,鹏鹞环保,环保,一级行业
300689.SZ,澄天伟业,通信,一级行业
300648.SZ,星云股份,电力设备,一级行业
300685.SZ,艾德生物,医药生物,一级行业
300668.SZ,杰恩股份,建筑装饰,一级行业
300681.SZ,英搏尔,汽车,一级行业
300671.SZ,富满微,电子,一级行业
300644.SZ,南京聚隆,基础化工,一级行业
300650.SZ,太龙股份,电子,一级行业
300654.SZ,世纪天鸿,传媒,一级行业
300679.SZ,电连技术,电子,一级行业
300658.SZ,延江股份,美容护理,一级行业
300675.SZ,建科院,建筑装饰,一级行业
300692.SZ,中赋科技,环保,一级行业
