Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
000615.SZ,*ST美谷,美容护理,一级行业
000558.SZ,天府文旅,社会服务,一级行业
000564.SZ,供销大集,商贸零售,一级行业
000506.SZ,招金黄金,有色金属,一级行业
000529.SZ,广弘控股,食品饮料,一级行业
000541.SZ,佛山照明,家用电器,一级行业
000521.SZ,长虹美菱,家用电器,一级行业
000629.SZ,钒钛股份,钢铁,一级行业
000630.SZ,铜陵有色,有色金属,一级行业
000596.SZ,古井贡酒,食品饮料,一级行业
000573.SZ,粤宏远A,房地产,一级行业
000550.SZ,江铃汽车,汽车,一级行业
000498.SZ,山东路桥,建筑装饰,一级行业
000582.SZ,北部湾港,交通运输,一级行业
000429.SZ,粤高速A,交通运输,一级行业
000503.SZ,国新健康,计算机,一级行业
000612.SZ,焦作万方,有色金属,一级行业
000633.SZ,合金投资,有色金属,一级行业
000524.SZ,岭南控股,社会服务,一级行业
000561.SZ,烽火电子,国防军工,一级行业
000544.SZ,中原环保,环保,一级行业
000593.SZ,德龙汇能,公用事业,一级行业
000601.SZ,韶能股份,公用事业,一级行业
000576.SZ,甘化科工,国防军工,一级行业
000538.SZ,云南白药,医药生物,一级行业
000609.SZ,*ST中迪,房地产,一级行业
000555.SZ,神州信息,计算机,一级行业
000626.SZ,远大控股,交通运输,一级行业
000530.SZ,冰山冷热,机械设备,一级行业
000517.SZ,荣安地产,房地产,一级行业
000581.SZ,威孚高科,汽车,一级行业
000428.SZ,华天酒店,社会服务,一级行业
000547.SZ,航天发展,国防军工,一级行业
000632.SZ,ST三木,综合,一级行业
000589.SZ,贵州轮胎,汽车,一级行业
000598.SZ,兴蓉环境,环保,一级行业
000514.SZ,渝开发,房地产,一级行业
000590.SZ,古汉医药,医药生物,一级行业
000533.SZ,顺钠股份,电力设备,一级行业
000505.SZ,京粮控股,农林牧渔,一级行业
000570.SZ,苏常柴A,汽车,一级行业
000595.SZ,新能股份,公用事业,一级行业
000567.SZ,海德股份,非银金融,一级行业
000607.SZ,华媒控股,传媒,一级行业
000610.SZ,*ST西旅,社会服务,一级行业
000553.SZ,安道麦A,基础化工,一级行业
000536.SZ,华映科技,电子,一级行业
000519.SZ,中兵红箭,国防军工,一级行业
000548.SZ,湖南投资,交通运输,一级行业
000619.SZ,海螺新材,建筑材料,一级行业
000560.SZ,我爱我家,房地产,一级行业
000525.SZ,红太阳,基础化工,一级行业
000545.SZ,金浦钛业,基础化工,一级行业
000568.SZ,泸州老窖,食品饮料,一级行业
000592.SZ,平潭发展,农林牧渔,一级行业
000539.SZ,粤电力A,公用事业,一级行业
000625.SZ,长安汽车,汽车,一级行业
000531.SZ,穗恒运A,公用事业,一级行业
000554.SZ,泰山石油,石油石化,一级行业
000516.SZ,国际医学,医药生物,一级行业
000559.SZ,万向钱潮,汽车,一级行业
000586.SZ,汇源通信,通信,一级行业
000528.SZ,柳工,机械设备,一级行业
000565.SZ,渝三峡A,基础化工,一级行业
000507.SZ,珠海港,公用事业,一级行业
000605.SZ,渤海股份,环保,一级行业
000488.SZ,ST晨鸣,轻工制造,一级行业
000520.SZ,凤凰航运,交通运输,一级行业
000572.SZ,海马汽车,汽车,一级行业
000597.SZ,东北制药,医药生物,一级行业
000513.SZ,丽珠集团,医药生物,一级行业
000534.SZ,万泽股份,医药生物,一级行业
000551.SZ,创元科技,环保,一级行业
000510.SZ,新金路,基础化工,一级行业
000617.SZ,中油资本,非银金融,一级行业
000504.SZ,南华生物,医药生物,一级行业
000566.SZ,海南海药,医药生物,一级行业
000543.SZ,皖能电力,公用事业,一级行业
000430.SZ,张家界,社会服务,一级行业
000523.SZ,红棉股份,综合,一级行业
000571.SZ,新大洲A,煤炭,一级行业
000600.SZ,建投能源,公用事业,一级行业
000552.SZ,甘肃能化,煤炭,一级行业
000623.SZ,吉林敖东,医药生物,一级行业
000608.SZ,阳光股份,房地产,一级行业
000518.SZ,四环生物,医药生物,一级行业
000537.SZ,绿发电力,公用事业,一级行业
000557.SZ,西部创业,交通运输,一级行业
000620.SZ,盈新发展,房地产,一级行业
000563.SZ,陕国投A,非银金融,一级行业
000501.SZ,武商集团,商贸零售,一级行业
000509.SZ,华塑控股,电子,一级行业
000526.SZ,学大教育,社会服务,一级行业
000546.SZ,金圆股份,环保,一级行业
000628.SZ,高新发展,建筑装饰,一级行业
000631.SZ,顺发恒能,公用事业,一级行业
000603.SZ,盛达资源,有色金属,一级行业
000599.SZ,青岛双星,汽车,一级行业
000591.SZ,太阳能,公用事业,一级行业
000532.SZ,华金资本,非银金融,一级行业
