Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
000701.SZ,厦门信达,商贸零售,一级行业
000753.SZ,漳州发展,综合,一级行业
000650.SZ,仁和药业,医药生物,一级行业
000782.SZ,恒申新材,基础化工,一级行业
000762.SZ,西藏矿业,有色金属,一级行业
000785.SZ,居然智家,商贸零售,一级行业
000738.SZ,航发控制,国防军工,一级行业
000709.SZ,河钢股份,钢铁,一级行业
000715.SZ,中兴商业,商贸零售,一级行业
000791.SZ,甘肃能源,公用事业,一级行业
000776.SZ,广发证券,非银金融,一级行业
000682.SZ,东方电子,电力设备,一级行业
000721.SZ,西安饮食,社会服务,一级行业
000767.SZ,晋控电力,公用事业,一级行业
000729.SZ,燕京啤酒,食品饮料,一级行业
000788.SZ,北大医药,医药生物,一级行业
000670.SZ,盈方微,电子,一级行业
000691.SZ,亚太实业,基础化工,一级行业
000678.SZ,襄阳轴承,汽车,一级行业
000710.SZ,贝瑞基因,医药生物,一级行业
000735.SZ,罗牛山,农林牧渔,一级行业
000718.SZ,苏宁环球,房地产,一级行业
000685.SZ,中山公用,环保,一级行业
000756.SZ,新华制药,医药生物,一级行业
000688.SZ,国城矿业,有色金属,一级行业
000703.SZ,恒逸石化,石油石化,一级行业
000726.SZ,鲁泰A,纺织服饰,一级行业
000751.SZ,锌业股份,有色金属,一级行业
000768.SZ,中航西飞,国防军工,一级行业
000655.SZ,金岭矿业,钢铁,一级行业
000759.SZ,中百集团,商贸零售,一级行业
000717.SZ,中南股份,钢铁,一级行业
000661.SZ,长春高新,医药生物,一级行业
000793.SZ,ST华闻,传媒,一级行业
000669.SZ,ST金鸿,公用事业,一级行业
000680.SZ,山推股份,机械设备,一级行业
000723.SZ,美锦能源,煤炭,一级行业
000635.SZ,英力特,基础化工,一级行业
000672.SZ,上峰材料,建筑材料,一级行业
000697.SZ,炼石航空,国防军工,一级行业
000712.SZ,锦龙股份,非银金融,一级行业
000737.SZ,北方铜业,有色金属,一级行业
000652.SZ,泰达股份,综合,一级行业
000779.SZ,甘咨询,建筑装饰,一级行业
000796.SZ,凯撒旅业,社会服务,一级行业
000683.SZ,博源化工,基础化工,一级行业
000728.SZ,国元证券,非银金融,一级行业
000766.SZ,通化金马,医药生物,一级行业
000692.SZ,惠天热电,公用事业,一级行业
000657.SZ,中钨高新,有色金属,一级行业
000789.SZ,万年青,建筑材料,一级行业
000677.SZ,ST海龙,基础化工,一级行业
000711.SZ,京蓝科技,环保,一级行业
000705.SZ,浙江震元,医药生物,一级行业
000720.SZ,新能泰山,电力设备,一级行业
000757.SZ,浩物股份,汽车,一级行业
000663.SZ,永安林业,农林牧渔,一级行业
000795.SZ,英洛华,有色金属,一级行业
000686.SZ,东北证券,非银金融,一级行业
000700.SZ,模塑科技,汽车,一级行业
000752.SZ,*ST西发,食品饮料,一级行业
000719.SZ,中原传媒,传媒,一级行业
000725.SZ,京东方A,电子,一级行业
000731.SZ,四川美丰,基础化工,一级行业
000695.SZ,滨海能源,电力设备,一级行业
000783.SZ,长江证券,非银金融,一级行业
000637.SZ,茂化实华,石油石化,一级行业
000739.SZ,普洛药业,医药生物,一级行业
000708.SZ,中信特钢,钢铁,一级行业
000790.SZ,华神科技,医药生物,一级行业
000668.SZ,荣丰控股,房地产,一级行业
000681.SZ,视觉中国,传媒,一级行业
000777.SZ,中核科技,机械设备,一级行业
000798.SZ,中水渔业,农林牧渔,一级行业
000722.SZ,湖南发展,公用事业,一级行业
000659.SZ,珠海中富,轻工制造,一级行业
000636.SZ,风华高科,电子,一级行业
000698.SZ,ST沈化,石油石化,一级行业
000690.SZ,宝新能源,公用事业,一级行业
000713.SZ,国投丰乐,农林牧渔,一级行业
000736.SZ,中交发展,房地产,一级行业
000679.SZ,大连友谊,商贸零售,一级行业
000707.SZ,双环科技,基础化工,一级行业
000755.SZ,山西高速,交通运输,一级行业
000778.SZ,新兴铸管,钢铁,一级行业
000665.SZ,湖北广电,传媒,一级行业
000797.SZ,中国武夷,房地产,一级行业
000702.SZ,正虹科技,农林牧渔,一级行业
000727.SZ,冠捷科技,电子,一级行业
000750.SZ,国海证券,非银金融,一级行业
000651.SZ,格力电器,家用电器,一级行业
000656.SZ,金科股份,房地产,一级行业
000639.SZ,ST西王,食品饮料,一级行业
000676.SZ,智度股份,传媒,一级行业
000761.SZ,本钢板材,钢铁,一级行业
000786.SZ,北新建材,建筑材料,一级行业
000716.SZ,黑芝麻,食品饮料,一级行业
000733.SZ,振华科技,国防军工,一级行业
000792.SZ,盐湖股份,基础化工,一级行业
000758.SZ,中色股份,有色金属,一级行业
