Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002981.SZ,朝阳科技,电子,一级行业
002982.SZ,湘佳股份,农林牧渔,一级行业
002980.SZ,华盛昌,电力设备,一级行业
002984.SZ,森麒麟,汽车,一级行业
002983.SZ,芯瑞达,电子,一级行业
002976.SZ,瑞玛精密,汽车,一级行业
002979.SZ,雷赛智能,机械设备,一级行业
002977.SZ,*ST天箭,国防军工,一级行业
002978.SZ,安宁股份,有色金属,一级行业
002985.SZ,北摩高科,国防军工,一级行业
002986.SZ,宇新股份,石油石化,一级行业
002971.SZ,和远气体,基础化工,一级行业
002972.SZ,科安达,机械设备,一级行业
002973.SZ,侨银股份,环保,一级行业
002989.SZ,中天精装,建筑装饰,一级行业
002990.SZ,盛视科技,计算机,一级行业
002991.SZ,甘源食品,食品饮料,一级行业
002988.SZ,豪美新材,有色金属,一级行业
002975.SZ,博杰股份,机械设备,一级行业
002987.SZ,京北方,计算机,一级行业
