Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
000833.SZ,粤桂股份,综合,一级行业
000885.SZ,城发环境,环保,一级行业
000856.SZ,冀东装备,机械设备,一级行业
000862.SZ,银星能源,公用事业,一级行业
000913.SZ,钱江摩托,汽车,一级行业
000936.SZ,华西股份,基础化工,一级行业
000927.SZ,中国铁物,机械设备,一级行业
000818.SZ,航锦科技,基础化工,一级行业
000799.SZ,酒鬼酒,食品饮料,一级行业
000810.SZ,创维数字,家用电器,一级行业
000807.SZ,云铝股份,有色金属,一级行业
000859.SZ,国风新材,基础化工,一级行业
000876.SZ,新希望,农林牧渔,一级行业
000882.SZ,华联股份,商贸零售,一级行业
000897.SZ,津滨发展,房地产,一级行业
000933.SZ,神火股份,有色金属,一级行业
000953.SZ,中哲精化,医药生物,一级行业
000838.SZ,*ST发展,房地产,一级行业
000909.SZ,*ST数源,房地产,一级行业
000922.SZ,佳电股份,电力设备,一级行业
000813.SZ,德展健康,医药生物,一级行业
000830.SZ,鲁西化工,基础化工,一级行业
000901.SZ,航天科技,汽车,一级行业
000831.SZ,中国稀土,有色金属,一级行业
000938.SZ,紫光股份,计算机,一级行业
000858.SZ,五粮液,食品饮料,一级行业
000802.SZ,北京文化,传媒,一级行业
000825.SZ,太钢不锈,钢铁,一级行业
000957.SZ,中通客车,汽车,一级行业
000950.SZ,重药控股,医药生物,一级行业
000930.SZ,中粮科技,农林牧渔,一级行业
000915.SZ,华特达因,医药生物,一级行业
000822.SZ,山东海化,基础化工,一级行业
000902.SZ,新洋丰,基础化工,一级行业
000929.SZ,兰州黄河,食品饮料,一级行业
000839.SZ,国安股份,通信,一级行业
000892.SZ,欢瑞世纪,传媒,一级行业
000887.SZ,中鼎股份,汽车,一级行业
000921.SZ,海信家电,家用电器,一级行业
000816.SZ,智慧农业,汽车,一级行业
000850.SZ,华茂股份,纺织服饰,一级行业
000878.SZ,云南铜业,有色金属,一级行业
000910.SZ,大亚圣象,轻工制造,一级行业
000935.SZ,四川双马,非银金融,一级行业
000819.SZ,岳阳兴长,石油石化,一级行业
000895.SZ,双汇发展,食品饮料,一级行业
000949.SZ,新乡化纤,基础化工,一级行业
000811.SZ,冰轮环境,机械设备,一级行业
000881.SZ,中广核技,基础化工,一级行业
000875.SZ,电投绿能,公用事业,一级行业
000898.SZ,鞍钢股份,钢铁,一级行业
000823.SZ,超声电子,电子,一级行业
000955.SZ,欣龙控股,纺织服饰,一级行业
000917.SZ,电广传媒,传媒,一级行业
000800.SZ,一汽解放,汽车,一级行业
000932.SZ,华菱钢铁,钢铁,一级行业
000820.SZ,神雾节能,环保,一级行业
000952.SZ,广济药业,医药生物,一级行业
000890.SZ,法尔胜,环保,一级行业
000837.SZ,秦川机床,机械设备,一级行业
000852.SZ,石化机械,机械设备,一级行业
000889.SZ,中嘉博创,通信,一级行业
000900.SZ,现代投资,交通运输,一级行业
000923.SZ,河钢资源,钢铁,一级行业
000908.SZ,石药景峰,医药生物,一级行业
000828.SZ,东莞控股,交通运输,一级行业
000937.SZ,冀中能源,煤炭,一级行业
000912.SZ,泸天化,基础化工,一级行业
000803.SZ,山高环能,环保,一级行业
000869.SZ,张裕A,食品饮料,一级行业
000893.SZ,亚钾国际,基础化工,一级行业
000848.SZ,承德露露,食品饮料,一级行业
000886.SZ,海南高速,交通运输,一级行业
000905.SZ,厦门港务,交通运输,一级行业
000926.SZ,福星股份,房地产,一级行业
000829.SZ,天音控股,商贸零售,一级行业
000860.SZ,顺鑫农业,食品饮料,一级行业
000877.SZ,天山股份,建筑材料,一级行业
000883.SZ,湖北能源,公用事业,一级行业
000911.SZ,*ST广糖,农林牧渔,一级行业
000919.SZ,金陵药业,医药生物,一级行业
000868.SZ,安凯客车,汽车,一级行业
000948.SZ,南天信息,计算机,一级行业
000906.SZ,浙商中拓,交通运输,一级行业
000925.SZ,众合科技,机械设备,一级行业
000812.SZ,陕西金叶,轻工制造,一级行业
000809.SZ,和展能源,电力设备,一级行业
000880.SZ,潍柴重机,机械设备,一级行业
000826.SZ,*ST启环,环保,一级行业
000863.SZ,三湘印象,房地产,一级行业
000899.SZ,赣能股份,公用事业,一级行业
000931.SZ,中关村,医药生物,一级行业
000951.SZ,中国重汽,汽车,一级行业
000801.SZ,四川九洲,家用电器,一级行业
000821.SZ,ST京机,电力设备,一级行业
000903.SZ,ST云动,汽车,一级行业
000928.SZ,中钢国际,建筑装饰,一级行业
000815.SZ,美利云,计算机,一级行业
000888.SZ,峨眉山A,社会服务,一级行业
000920.SZ,沃顿科技,基础化工,一级行业
