Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
300225.SZ,金力泰,基础化工,一级行业
300311.SZ,任子行,计算机,一级行业
300231.SZ,银信科技,计算机,一级行业
300219.SZ,鸿利智汇,电子,一级行业
300254.SZ,仟源医药,医药生物,一级行业
300277.SZ,汽轮科技,计算机,一级行业
300292.SZ,吴通控股,通信,一级行业
300240.SZ,飞力达,交通运输,一级行业
300263.SZ,隆华科技,机械设备,一级行业
300319.SZ,麦捷科技,电子,一级行业
300211.SZ,*ST亿通,通信,一级行业
300305.SZ,裕兴股份,基础化工,一级行业
300248.SZ,新开普,计算机,一级行业
300286.SZ,安科瑞,电力设备,一级行业
300314.SZ,戴维医疗,医药生物,一级行业
300308.SZ,中际旭创,通信,一级行业
300257.SZ,开山股份,机械设备,一级行业
300295.SZ,*ST三六五,传媒,一级行业
300236.SZ,上海新阳,电子,一级行业
300274.SZ,阳光电源,电力设备,一级行业
300237.SZ,ST美晨,汽车,一级行业
300289.SZ,利德曼,医药生物,一级行业
300300.SZ,海峡创新,计算机,一级行业
300222.SZ,科大智能,电力设备,一级行业
300281.SZ,金明精机,机械设备,一级行业
300243.SZ,瑞丰高材,基础化工,一级行业
300260.SZ,新莱应材,机械设备,一级行业
300268.SZ,佳沃食品,农林牧渔,一级行业
300298.SZ,三诺生物,医药生物,一级行业
300307.SZ,慈星股份,机械设备,一级行业
300313.SZ,天山生物,农林牧渔,一级行业
300223.SZ,君正股份,电子,一级行业
300256.SZ,星星科技,电子,一级行业
300279.SZ,和晶科技,家用电器,一级行业
300290.SZ,ST荣科,计算机,一级行业
300217.SZ,东方电热,家用电器,一级行业
300242.SZ,佳云科技,传媒,一级行业
300265.SZ,通光线缆,电力设备,一级行业
300284.SZ,苏交科,建筑装饰,一级行业
300228.SZ,富瑞特装,机械设备,一级行业
300251.SZ,光线传媒,传媒,一级行业
300316.SZ,晶盛机电,电力设备,一级行业
300234.SZ,开尔新材,建筑材料,一级行业
300259.SZ,新天科技,机械设备,一级行业
300276.SZ,三丰智能,机械设备,一级行业
300293.SZ,蓝英装备,机械设备,一级行业
300214.SZ,日科化学,基础化工,一级行业
300239.SZ,东宝生物,医药生物,一级行业
300287.SZ,飞利信,计算机,一级行业
300220.SZ,金运激光,机械设备,一级行业
300245.SZ,ST天玑,计算机,一级行业
300302.SZ,同有科技,计算机,一级行业
300250.SZ,初灵信息,计算机,一级行业
300315.SZ,掌趣科技,传媒,一级行业
300235.SZ,方直科技,计算机,一级行业
300296.SZ,利亚德,电子,一级行业
300258.SZ,精锻科技,汽车,一级行业
300215.SZ,电科院,社会服务,一级行业
300238.SZ,冠昊生物,医药生物,一级行业
300221.SZ,银禧科技,基础化工,一级行业
300244.SZ,迪安诊断,医药生物,一级行业
300229.SZ,拓尔思,计算机,一级行业
300301.SZ,ST长方,电子,一级行业
300267.SZ,尔康制药,医药生物,一级行业
300253.SZ,卫宁健康,计算机,一级行业
300226.SZ,上海钢联,计算机,一级行业
300299.SZ,富春股份,传媒,一级行业
300310.SZ,宜通世纪,通信,一级行业
300270.SZ,中威电子,计算机,一级行业
300232.SZ,洲明科技,电子,一级行业
300278.SZ,华昌达,机械设备,一级行业
300291.SZ,百纳千成,传媒,一级行业
300264.SZ,佳创视讯,计算机,一级行业
300212.SZ,*ST易录,计算机,一级行业
300318.SZ,博晖创新,医药生物,一级行业
300304.SZ,云意电气,汽车,一级行业
300285.SZ,国瓷材料,电子,一级行业
300247.SZ,融捷健康,家用电器,一级行业
300227.SZ,光韵达,机械设备,一级行业
300252.SZ,金信诺,国防军工,一级行业
300233.SZ,金城医药,医药生物,一级行业
300294.SZ,博雅生物,医药生物,一级行业
300275.SZ,梅安森,计算机,一级行业
300288.SZ,朗玛信息,计算机,一级行业
300213.SZ,佳讯飞鸿,通信,一级行业
300317.SZ,珈伟新能,公用事业,一级行业
300269.SZ,联建光电,电子,一级行业
300246.SZ,宝莱特,医药生物,一级行业
300303.SZ,聚飞光电,电子,一级行业
300261.SZ,雅本化学,基础化工,一级行业
300224.SZ,正海磁材,有色金属,一级行业
300230.SZ,永利股份,基础化工,一级行业
300306.SZ,远方信息,机械设备,一级行业
300218.SZ,安利股份,基础化工,一级行业
300255.SZ,常山药业,医药生物,一级行业
300272.SZ,开能健康,家用电器,一级行业
300241.SZ,瑞丰光电,电子,一级行业
300266.SZ,兴源环境,环保,一级行业
300249.SZ,依米康,计算机,一级行业
300283.SZ,温州宏丰,电力设备,一级行业
