Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002203.SZ,海亮股份,有色金属,一级行业
002204.SZ,大连重工,机械设备,一级行业
002205.SZ,国统股份,建筑材料,一级行业
002219.SZ,新里程,医药生物,一级行业
002217.SZ,ST合力泰,电子,一级行业
002218.SZ,拓日新能,公用事业,一级行业
002213.SZ,大为股份,电子,一级行业
002216.SZ,三全食品,食品饮料,一级行业
002214.SZ,大立科技,国防军工,一级行业
002215.SZ,诺普信,农林牧渔,一级行业
002211.SZ,ST宏达,基础化工,一级行业
002212.SZ,天融信,计算机,一级行业
002210.SZ,飞马国际,环保,一级行业
002208.SZ,合肥城建,房地产,一级行业
002221.SZ,东华能源,石油石化,一级行业
002209.SZ,达意隆,机械设备,一级行业
002222.SZ,福晶科技,电子,一级行业
002206.SZ,海利得,基础化工,一级行业
002207.SZ,*ST准油,石油石化,一级行业
002223.SZ,鱼跃医疗,医药生物,一级行业
