Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
600746.SH,江苏索普,基础化工,一级行业
600717.SH,天津港,交通运输,一级行业
600775.SH,南京熊猫,通信,一级行业
600689.SH,上海三毛,综合,一级行业
600790.SH,轻纺城,商贸零售,一级行业
600681.SH,百川能源,公用事业,一级行业
600703.SH,三安光电,电子,一级行业
600726.SH,华电能源,公用事业,一级行业
600749.SH,西藏旅游,社会服务,一级行业
600789.SH,鲁抗医药,医药生物,一级行业
600743.SH,华远控股,房地产,一级行业
600686.SH,金龙汽车,汽车,一级行业
600770.SH,综艺股份,综合,一级行业
600714.SH,金瑞矿业,基础化工,一级行业
600778.SH,友好集团,商贸零售,一级行业
600732.SH,爱旭股份,电力设备,一级行业
600757.SH,长江传媒,传媒,一级行业
600729.SH,重百集团,商贸零售,一级行业
600711.SH,盛屯矿业,有色金属,一级行业
600708.SH,光明地产,房地产,一级行业
600692.SH,亚通股份,房地产,一级行业
600763.SH,通策医疗,医药生物,一级行业
600784.SH,鲁银投资,基础化工,一级行业
600675.SH,中华企业,房地产,一级行业
600719.SH,大连热电,公用事业,一级行业
600744.SH,华银电力,公用事业,一级行业
600792.SH,云煤能源,煤炭,一级行业
600721.SH,百花医药,医药生物,一级行业
600702.SH,舍得酒业,食品饮料,一级行业
600750.SH,华润江中,医药生物,一级行业
600738.SH,丽尚国潮,商贸零售,一级行业
600777.SH,新潮能源,石油石化,一级行业
600735.SH,ST新华锦,纺织服饰,一级行业
600693.SH,东百集团,商贸零售,一级行业
600764.SH,中国海防,国防军工,一级行业
600678.SH,ST金顶,建筑材料,一级行业
600783.SH,鲁信创投,机械设备,一级行业
600684.SH,珠江股份,房地产,一级行业
600716.SH,凤凰股份,房地产,一级行业
600741.SH,华域汽车,汽车,一级行业
600724.SH,宁波富达,房地产,一级行业
600758.SH,辽宁能源,煤炭,一级行业
600698.SH,湖南天雁,汽车,一级行业
600755.SH,厦门国贸,交通运输,一级行业
600713.SH,南京医药,医药生物,一级行业
600730.SH,*ST高科,社会服务,一级行业
600727.SH,鲁北化工,基础化工,一级行业
600761.SH,安徽合力,机械设备,一级行业
600690.SH,海尔智家,家用电器,一级行业
600769.SH,祥龙电业,环保,一级行业
600685.SH,中船防务,国防军工,一级行业
600771.SH,广誉远,医药生物,一级行业
600742.SH,富维股份,汽车,一级行业
600736.SH,苏州高新,房地产,一级行业
600759.SH,ST洲际,石油石化,一级行业
600779.SH,水井坊,食品饮料,一级行业
600707.SH,彩虹股份,电子,一级行业
600756.SH,浪潮软件,计算机,一级行业
600699.SH,均胜电子,汽车,一级行业
600710.SH,苏美达,商贸零售,一级行业
600733.SH,北汽蓝谷,汽车,一级行业
600691.SH,潞化科技,基础化工,一级行业
600676.SH,久事动娱,汽车,一级行业
600785.SH,新华百货,商贸零售,一级行业
600768.SH,富邦新材,有色金属,一级行业
600718.SH,东软集团,计算机,一级行业
600722.SH,金牛化工,基础化工,一级行业
600774.SH,汉商集团,医药生物,一级行业
600739.SH,辽宁成大,医药生物,一级行业
600682.SH,南京新百,综合,一级行业
600791.SH,京能置业,房地产,一级行业
600780.SH,通宝能源,公用事业,一级行业
600704.SH,物产中大,交通运输,一级行业
600753.SH,ST海钦,交通运输,一级行业
600725.SH,云维股份,煤炭,一级行业
600679.SH,上海凤凰,汽车,一级行业
600715.SH,文投控股,传媒,一级行业
600740.SH,山西焦化,煤炭,一级行业
600773.SH,西藏城投,房地产,一级行业
600683.SH,京投发展,房地产,一级行业
600697.SH,欧亚集团,商贸零售,一级行业
600754.SH,锦江酒店,社会服务,一级行业
600728.SH,佳都科技,计算机,一级行业
600760.SH,中航沈飞,国防军工,一级行业
600712.SH,南宁百货,商贸零售,一级行业
600731.SH,湖南海利,基础化工,一级行业
600674.SH,川投能源,公用事业,一级行业
600787.SH,中储股份,交通运输,一级行业
600720.SH,中交设计,建筑装饰,一级行业
600745.SH,*ST闻泰,电子,一级行业
600688.SH,上海石化,石油石化,一级行业
600751.SH,海航科技,交通运输,一级行业
600737.SH,中粮糖业,农林牧渔,一级行业
600776.SH,东方通信,通信,一级行业
600782.SH,新钢股份,钢铁,一级行业
600734.SH,*ST实达,通信,一级行业
600706.SH,曲江文旅,社会服务,一级行业
600748.SH,上实发展,房地产,一级行业
600694.SH,大商股份,商贸零售,一级行业
600765.SH,中航重机,国防军工,一级行业
