Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002167.SZ,东方锆业,有色金属,一级行业
002168.SZ,ST惠程,电力设备,一级行业
002166.SZ,莱茵生物,基础化工,一级行业
002170.SZ,芭田股份,基础化工,一级行业
002165.SZ,红宝丽,基础化工,一级行业
002169.SZ,智光电气,电力设备,一级行业
002162.SZ,悦心健康,轻工制造,一级行业
002163.SZ,海南发展,建筑装饰,一级行业
002164.SZ,宁波东力,机械设备,一级行业
002182.SZ,宝武镁业,有色金属,一级行业
002180.SZ,奔图科技,计算机,一级行业
002176.SZ,江特电机,电力设备,一级行业
002177.SZ,御银股份,商贸零售,一级行业
002178.SZ,延华智能,计算机,一级行业
002179.SZ,中航光电,国防军工,一级行业
002174.SZ,游族网络,传媒,一级行业
002175.SZ,*ST东智,机械设备,一级行业
002172.SZ,澳洋健康,医药生物,一级行业
002173.SZ,创新医疗,医药生物,一级行业
002171.SZ,楚江新材,有色金属,一级行业
