Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
600935.SH,华塑股份,基础化工,一级行业
600958.SH,东方证券,非银金融,一级行业
600987.SH,航民股份,纺织服饰,一级行业
601112.SH,振石股份,建筑材料,一级行业
600941.SH,中国移动,通信,一级行业
600929.SH,雪天盐业,基础化工,一级行业
601069.SH,西部黄金,有色金属,一级行业
600970.SH,中材国际,建筑装饰,一级行业
600993.SH,马应龙,医药生物,一级行业
601098.SH,中南传媒,传媒,一级行业
601126.SH,四方股份,电力设备,一级行业
600967.SH,内蒙一机,国防军工,一级行业
601000.SH,唐山港,交通运输,一级行业
600955.SH,维远股份,基础化工,一级行业
600938.SH,中国海油,石油石化,一级行业
601061.SH,中信金属,商贸零售,一级行业
601117.SH,中国化学,建筑装饰,一级行业
600961.SH,株冶集团,有色金属,一级行业
601008.SH,连云港,交通运输,一级行业
600982.SH,宁波能源,公用事业,一级行业
601123.SH,马矿股份,钢铁,一级行业
600996.SH,贵广网络,传媒,一级行业
601020.SH,华钰矿业,有色金属,一级行业
600975.SH,新五丰,农林牧渔,一级行业
601106.SH,中国一重,机械设备,一级行业
601003.SH,柳钢股份,钢铁,一级行业
601066.SH,中信建投,非银金融,一级行业
601011.SH,宝泰隆,煤炭,一级行业
601118.SH,海南橡胶,农林牧渔,一级行业
600962.SH,国投中鲁,农林牧渔,一级行业
600956.SH,新天绿能,公用事业,一级行业
600981.SH,苏豪汇鸿,商贸零售,一级行业
600979.SH,广安爱众,公用事业,一级行业
601019.SH,山东出版,传媒,一级行业
601038.SH,一拖股份,机械设备,一级行业
601002.SH,晋亿实业,机械设备,一级行业
600976.SH,健民集团,医药生物,一级行业
600995.SH,南网储能,公用事业,一级行业
601101.SH,昊华能源,煤炭,一级行业
601086.SH,国芳集团,商贸零售,一级行业
600959.SH,江苏有线,传媒,一级行业
600984.SH,建设机械,机械设备,一级行业
601058.SH,赛轮轮胎,汽车,一级行业
601033.SH,永兴股份,环保,一级行业
601121.SH,宝地矿业,钢铁,一级行业
601016.SH,节能风电,公用事业,一级行业
600928.SH,西安银行,银行,一级行业
600973.SH,宝胜股份,电力设备,一级行业
601022.SH,宁波远洋,交通运输,一级行业
600998.SH,九州通,医药生物,一级行业
601089.SH,福元医药,医药生物,一级行业
600990.SH,四创电子,国防军工,一级行业
600939.SH,重庆建工,建筑装饰,一级行业
601005.SH,重庆钢铁,钢铁,一级行业
600960.SH,渤海汽车,汽车,一级行业
600983.SH,惠而浦,家用电器,一级行业
601059.SH,信达证券,非银金融,一级行业
601116.SH,三江购物,商贸零售,一级行业
600997.SH,开滦股份,煤炭,一级行业
601107.SH,四川成渝,交通运输,一级行业
601065.SH,江盐集团,基础化工,一级行业
601088.SH,中国神华,煤炭,一级行业
601010.SH,ST文峰,商贸零售,一级行业
601083.SH,锦江航运,交通运输,一级行业
600936.SH,北投科技,传媒,一级行业
601113.SH,华鼎股份,基础化工,一级行业
600986.SH,浙文互联,传媒,一级行业
601077.SH,渝农商行,银行,一级行业
600965.SH,*ST福成,农林牧渔,一级行业
601018.SH,宁波港,交通运输,一级行业
600971.SH,恒源煤电,煤炭,一级行业
600968.SH,海油发展,石油石化,一级行业
601127.SH,赛力斯,汽车,一级行业
600992.SH,贵绳股份,机械设备,一级行业
600989.SH,宝丰能源,基础化工,一级行业
601007.SH,金陵饭店,社会服务,一级行业
600933.SH,爱柯迪,汽车,一级行业
601009.SH,南京银行,银行,一级行业
600985.SH,淮北矿业,煤炭,一级行业
600966.SH,博汇纸业,轻工制造,一级行业
601015.SH,陕西黑猫,煤炭,一级行业
601021.SH,春秋航空,交通运输,一级行业
601128.SH,常熟银行,银行,一级行业
601096.SH,宏盛华源,建筑装饰,一级行业
600999.SH,招商证券,非银金融,一级行业
600969.SH,郴电国际,公用事业,一级行业
601006.SH,大秦铁路,交通运输,一级行业
600930.SH,华电新能,公用事业,一级行业
601012.SH,隆基绿能,电力设备,一级行业
600988.SH,赤峰黄金,有色金属,一级行业
601111.SH,中国国航,交通运输,一级行业
600980.SH,北矿科技,机械设备,一级行业
600963.SH,岳阳林纸,轻工制造,一级行业
601001.SH,晋控煤业,煤炭,一级行业
601108.SH,财通证券,非银金融,一级行业
601099.SH,太平洋,非银金融,一级行业
600977.SH,中国电影,传媒,一级行业
601100.SH,恒立液压,机械设备,一级行业
601068.SH,中铝国际,建筑装饰,一级行业
601026.SH,道生天合,基础化工,一级行业
