Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
002789.SZ,*ST建艺,建筑装饰,一级行业
002790.SZ,瑞尔特,轻工制造,一级行业
002791.SZ,坚朗五金,建筑材料,一级行业
002772.SZ,众兴菌业,农林牧渔,一级行业
002773.SZ,康弘药业,医药生物,一级行业
002771.SZ,真视通,计算机,一级行业
002793.SZ,罗欣药业,医药生物,一级行业
002774.SZ,快意电梯,机械设备,一级行业
002775.SZ,文科股份,建筑装饰,一级行业
002792.SZ,通宇通讯,通信,一级行业
002778.SZ,中晟高科,环保,一级行业
002779.SZ,中坚科技,机械设备,一级行业
002777.SZ,久远银海,计算机,一级行业
002780.SZ,三夫户外,纺织服饰,一级行业
002783.SZ,凯龙股份,基础化工,一级行业
002782.SZ,可立克,电子,一级行业
002785.SZ,万里石,建筑材料,一级行业
002788.SZ,鹭燕医药,医药生物,一级行业
002786.SZ,银宝山新,机械设备,一级行业
002787.SZ,华源控股,轻工制造,一级行业
