Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
003032.SZ,传智教育,社会服务,一级行业
003033.SZ,征和工业,汽车,一级行业
003030.SZ,祖名股份,农林牧渔,一级行业
003031.SZ,中瓷电子,通信,一级行业
003013.SZ,地铁设计,建筑装饰,一级行业
003015.SZ,日久光电,电子,一级行业
003016.SZ,欣贺股份,纺织服饰,一级行业
003017.SZ,大洋生物,基础化工,一级行业
003035.SZ,南网能源,公用事业,一级行业
003019.SZ,宸展光电,电子,一级行业
003020.SZ,立方制药,医药生物,一级行业
003018.SZ,金富科技,轻工制造,一级行业
003021.SZ,兆威机电,电力设备,一级行业
003022.SZ,联泓新科,电力设备,一级行业
003025.SZ,思进智能,机械设备,一级行业
003026.SZ,中晶科技,电子,一级行业
003023.SZ,彩虹集团,家用电器,一级行业
003028.SZ,振邦智能,家用电器,一级行业
003027.SZ,同兴科技,环保,一级行业
003029.SZ,吉大正元,计算机,一级行业
