Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
301356.SZ,天振股份,轻工制造,一级行业
301337.SZ,亚华电子,计算机,一级行业
301310.SZ,鑫宏业,汽车,一级行业
301314.SZ,科瑞思,通信,一级行业
301333.SZ,诺思格,医药生物,一级行业
301318.SZ,维海德,计算机,一级行业
301365.SZ,矩阵股份,建筑装饰,一级行业
301361.SZ,众智科技,电力设备,一级行业
301327.SZ,华宝新能,电力设备,一级行业
301323.SZ,新莱福,有色金属,一级行业
301308.SZ,江波龙,电子,一级行业
301305.SZ,朗坤科技,环保,一级行业
301357.SZ,北方长龙,国防军工,一级行业
301336.SZ,趣睡科技,轻工制造,一级行业
301311.SZ,昆船智能,机械设备,一级行业
301315.SZ,威士顿,计算机,一级行业
301353.SZ,普莱得,机械设备,一级行业
301332.SZ,德尔玛,家用电器,一级行业
301368.SZ,丰立智能,机械设备,一级行业
301322.SZ,绿通科技,汽车,一级行业
301326.SZ,捷邦科技,电子,一级行业
301360.SZ,荣旗科技,机械设备,一级行业
301309.SZ,万得凯,机械设备,一级行业
301306.SZ,西测测试,国防军工,一级行业
301331.SZ,恩威医药,医药生物,一级行业
301329.SZ,信音电子,电子,一级行业
301312.SZ,智立方,机械设备,一级行业
301358.SZ,湖南裕能,电力设备,一级行业
301339.SZ,通行宝,计算机,一级行业
301319.SZ,唯特偶,电子,一级行业
301335.SZ,天元宠物,轻工制造,一级行业
301316.SZ,慧博云通,计算机,一级行业
301367.SZ,瑞迈特,医药生物,一级行业
301363.SZ,美好医疗,医药生物,一级行业
301348.SZ,蓝箭电子,电子,一级行业
301321.SZ,翰博高新,电子,一级行业
301325.SZ,曼恩斯特,电力设备,一级行业
301355.SZ,南王科技,轻工制造,一级行业
301330.SZ,熵基科技,计算机,一级行业
301313.SZ,凡拓数创,传媒,一级行业
301338.SZ,凯格精机,机械设备,一级行业
301359.SZ,东南电子,电子,一级行业
301317.SZ,鑫磊股份,机械设备,一级行业
301320.SZ,豪江智能,机械设备,一级行业
301366.SZ,一博科技,电子,一级行业
301362.SZ,民爆光电,家用电器,一级行业
301349.SZ,信德新材,电力设备,一级行业
301328.SZ,维峰电子,电子,一级行业
301345.SZ,涛涛车业,汽车,一级行业
301307.SZ,美利信,机械设备,一级行业
