Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
300896.SZ,爱美客,美容护理,一级行业
300877.SZ,金春股份,纺织服饰,一级行业
300873.SZ,海晨股份,交通运输,一级行业
300867.SZ,圣元环保,环保,一级行业
300854.SZ,中兰环保,环保,一级行业
300901.SZ,中胤时尚,纺织服饰,一级行业
300886.SZ,华业香料,基础化工,一级行业
300863.SZ,卡倍亿,汽车,一级行业
300858.SZ,科拓生物,基础化工,一级行业
300882.SZ,万胜智能,电力设备,一级行业
300892.SZ,品渥食品,食品饮料,一级行业
300899.SZ,上海凯鑫,环保,一级行业
300870.SZ,欧陆通,电力设备,一级行业
300895.SZ,铜牛信息,计算机,一级行业
300868.SZ,杰美特,电子,一级行业
300889.SZ,爱克股份,电子,一级行业
300900.SZ,广联航空,国防军工,一级行业
300904.SZ,威力传动,电力设备,一级行业
300885.SZ,海昌新材,机械设备,一级行业
300860.SZ,锋尚文化,社会服务,一级行业
300864.SZ,南大环境,环保,一级行业
300881.SZ,盛德鑫泰,钢铁,一级行业
300857.SZ,协创数据,电子,一级行业
300891.SZ,惠云钛业,基础化工,一级行业
300878.SZ,维康药业,医药生物,一级行业
300898.SZ,熊猫乳品,食品饮料,一级行业
300869.SZ,康泰医学,医药生物,一级行业
300871.SZ,回盛生物,农林牧渔,一级行业
300894.SZ,火星人,家用电器,一级行业
300875.SZ,捷强装备,国防军工,一级行业
300903.SZ,科翔股份,电子,一级行业
300861.SZ,美畅股份,机械设备,一级行业
300888.SZ,稳健医疗,美容护理,一级行业
300856.SZ,科思股份,美容护理,一级行业
300884.SZ,狄耐克,计算机,一级行业
300865.SZ,大宏立,机械设备,一级行业
300890.SZ,翔丰华,电力设备,一级行业
300879.SZ,大叶股份,机械设备,一级行业
300880.SZ,迦南智能,电力设备,一级行业
300897.SZ,山科智能,机械设备,一级行业
300876.SZ,蒙泰高新,基础化工,一级行业
300872.SZ,天阳科技,计算机,一级行业
300893.SZ,松原安全,汽车,一级行业
300855.SZ,图南股份,有色金属,一级行业
300902.SZ,国安达,机械设备,一级行业
300862.SZ,蓝盾光电,机械设备,一级行业
300887.SZ,谱尼测试,社会服务,一级行业
300859.SZ,西域旅游,社会服务,一级行业
300866.SZ,安克创新,电子,一级行业
300883.SZ,龙利得,轻工制造,一级行业
