Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002226.SZ,江南化工,基础化工,一级行业
002227.SZ,*ST特迅,电力设备,一级行业
002225.SZ,濮耐股份,建筑材料,一级行业
002224.SZ,三力士,基础化工,一级行业
002230.SZ,科大讯飞,计算机,一级行业
002233.SZ,塔牌集团,建筑材料,一级行业
002234.SZ,民和股份,农林牧渔,一级行业
002232.SZ,启明信息,计算机,一级行业
002235.SZ,安妮股份,轻工制造,一级行业
002236.SZ,大华股份,计算机,一级行业
002237.SZ,恒邦股份,有色金属,一级行业
002238.SZ,天威视讯,传媒,一级行业
002239.SZ,奥特佳,汽车,一级行业
002241.SZ,歌尔股份,电子,一级行业
002240.SZ,盛新锂能,有色金属,一级行业
002244.SZ,滨江集团,房地产,一级行业
002229.SZ,鸿博股份,计算机,一级行业
002242.SZ,九阳股份,家用电器,一级行业
002243.SZ,力合科创,社会服务,一级行业
002228.SZ,合兴包装,轻工制造,一级行业
