Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
688796.SH,百奥赛图,医药生物,一级行业
688721.SH,龙图光罩,电子,一级行业
688687.SH,凯因科技,医药生物,一级行业
688693.SH,锴威特,电子,一级行业
688750.SH,金天钛业,有色金属,一级行业
688712.SH,北芯生命,医药生物,一级行业
688655.SH,迅捷兴,电子,一级行业
688787.SH,海天瑞声,计算机,一级行业
688678.SH,福立旺,电子,一级行业
688670.SH,金迪克,医药生物,一级行业
688709.SH,成都华微,电子,一级行业
688690.SH,纳微科技,医药生物,一级行业
688638.SH,誉辰智能,电力设备,一级行业
688667.SH,菱电电控,汽车,一级行业
688646.SH,逸飞激光,机械设备,一级行业
688776.SH,国光电气,国防军工,一级行业
688793.SH,倍轻松,家用电器,一级行业
688755.SH,汉邦科技,医药生物,一级行业
688652.SH,京仪装备,电子,一级行业
688758.SH,赛分科技,医药生物,一级行业
688698.SH,伟创电气,机械设备,一级行业
688635.SH,长进光子,通信,一级行业
688727.SH,恒坤新材,电子,一级行业
688689.SH,银河微电,电子,一级行业
688695.SH,中创股份,计算机,一级行业
688681.SH,科汇股份,电力设备,一级行业
688779.SH,五矿新能,电力设备,一级行业
688710.SH,益诺思,医药生物,一级行业
688653.SH,康希通信,电子,一级行业
688785.SH,恒运昌,电子,一级行业
688766.SH,普冉股份,电子,一级行业
688800.SH,瑞可达,电子,一级行业
688726.SH,拉普拉斯,电力设备,一级行业
688707.SH,振华新材,电力设备,一级行业
688692.SH,达梦数据,计算机,一级行业
688799.SH,华纳药厂,医药生物,一级行业
688701.SH,卓锦股份,环保,一级行业
688669.SH,聚石化学,基础化工,一级行业
688686.SH,奥普特,机械设备,一级行业
688661.SH,和林微纳,电子,一级行业
688757.SH,胜科纳米,社会服务,一级行业
688718.SH,唯赛勃,基础化工,一级行业
688658.SH,悦康药业,医药生物,一级行业
688729.SH,屹唐股份,电子,一级行业
688788.SH,科思科技,国防军工,一级行业
688639.SH,华恒生物,基础化工,一级行业
688702.SH,盛科通信-U,电子,一级行业
688668.SH,鼎通科技,通信,一级行业
688805.SH,健信超导,医药生物,一级行业
688683.SH,莱尔科技,电子,一级行业
688660.SH,电气风电,电力设备,一级行业
688777.SH,中控技术,机械设备,一级行业
688719.SH,爱科赛博,电力设备,一级行业
688651.SH,盛邦安全,计算机,一级行业
688783.SH,西安奕材-U,电子,一级行业
688680.SH,海优新材,电力设备,一级行业
688648.SH,中邮科技,机械设备,一级行业
688697.SH,纽威数控,机械设备,一级行业
688636.SH,智明达,国防军工,一级行业
688768.SH,容知日新,机械设备,一级行业
688728.SH,格科微,电子,一级行业
688772.SH,珠海冠宇,电力设备,一级行业
688797.SH,臻宝科技,电子,一级行业
688663.SH,新风光,电力设备,一级行业
688659.SH,元琛科技,基础化工,一级行业
688716.SH,中研股份,基础化工,一级行业
688737.SH,中自科技,汽车,一级行业
688786.SH,悦安新材,有色金属,一级行业
688677.SH,海泰新光,医药生物,一级行业
688765.SH,禾元生物-U,医药生物,一级行业
688656.SH,浩欧博,医药生物,一级行业
688700.SH,东威科技,机械设备,一级行业
688662.SH,富信科技,电子,一级行业
688691.SH,灿芯股份,电子,一级行业
688798.SH,艾为电子,电子,一级行业
688685.SH,迈信林,国防军工,一级行业
688717.SH,艾罗能源,电力设备,一级行业
688790.SH,昂瑞微-UW,电子,一级行业
688775.SH,影石创新,电子,一级行业
688733.SH,壹石通,电力设备,一级行业
688676.SH,金盘科技,电力设备,一级行业
688759.SH,必贝特-U,医药生物,一级行业
688699.SH,明微电子,电子,一级行业
688657.SH,浩辰软件,计算机,一级行业
688789.SH,宏华数科,机械设备,一级行业
688720.SH,艾森股份,电子,一级行业
688781.SH,视涯科技-UW,电子,一级行业
688665.SH,四方光电,机械设备,一级行业
688722.SH,同益中,基础化工,一级行业
688795.SH,摩尔线程-U,电子,一级行业
688802.SH,沐曦股份-U,电子,一级行业
688778.SH,厦钨新能,电力设备,一级行业
688682.SH,霍莱沃,国防军工,一级行业
688739.SH,成大生物,医药生物,一级行业
688711.SH,宏微科技,电子,一级行业
688679.SH,通源环境,环保,一级行业
688696.SH,极米科技,家用电器,一级行业
688671.SH,碧兴物联,环保,一级行业
688767.SH,博拓生物,医药生物,一级行业
688708.SH,佳驰科技,国防军工,一级行业
