Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
000019.SZ,深粮控股,农林牧渔,一级行业
000426.SZ,兴业银锡,有色金属,一级行业
688809.SH,强一股份,电子,一级行业
000048.SZ,京基智农,农林牧渔,一级行业
000025.SZ,特力A,综合,一级行业
000157.SZ,中联重科,机械设备,一级行业
000063.SZ,中兴通讯,通信,一级行业
000002.SZ,万科A,房地产,一级行业
688818.SH,电科蓝天,国防军工,一级行业
000034.SZ,神州数码,计算机,一级行业
000166.SZ,申万宏源,非银金融,一级行业
000403.SZ,派林生物,医药生物,一级行业
000011.SZ,深物业A,房地产,一级行业
000089.SZ,深圳机场,交通运输,一级行业
000100.SZ,TCL科技,电子,一级行业
000068.SZ,华控赛格,环保,一级行业
000060.SZ,中金岭南,有色金属,一级行业
000037.SZ,深南电A,公用事业,一级行业
000421.SZ,南京公用,综合,一级行业
000408.SZ,藏格矿业,基础化工,一级行业
688836.SH,宇树科技-W,机械设备,一级行业
000016.SZ,*ST康佳A,家用电器,一级行业
689009.SH,九号公司-WD,汽车,一级行业
000400.SZ,许继电气,电力设备,一级行业
000088.SZ,盐田港,交通运输,一级行业
000338.SZ,潍柴动力,汽车,一级行业
000069.SZ,华侨城A,房地产,一级行业
000061.SZ,农产品,商贸零售,一级行业
688826.SH,频准激光,机械设备,一级行业
000027.SZ,深圳能源,公用事业,一级行业
000159.SZ,国际实业,电力设备,一级行业
000151.SZ,中成股份,商贸零售,一级行业
000032.SZ,深桑达A,建筑装饰,一级行业
000055.SZ,方大集团,建筑材料,一级行业
000415.SZ,渤海租赁,非银金融,一级行业
000420.SZ,吉林化纤,基础化工,一级行业
000409.SZ,云鼎科技,计算机,一级行业
000401.SZ,金隅冀东,建筑材料,一级行业
688806.SH,泰诺麦博-U,医药生物,一级行业
000066.SZ,中国长城,计算机,一级行业
000049.SZ,德赛电池,电力设备,一级行业
000417.SZ,合百集团,商贸零售,一级行业
000007.SZ,全新好,商贸零售,一级行业
688820.SH,盛合晶微,电子,一级行业
688981.SH,中芯国际,电子,一级行业
000035.SZ,中国天楹,环保,一级行业
000423.SZ,东阿阿胶,医药生物,一级行业
000010.SZ,*ST美丽,建筑装饰,一级行业
688828.SH,国仪公司-U,机械设备,一级行业
000096.SZ,广聚能源,石油石化,一级行业
688811.SH,有研复材,有色金属,一级行业
000021.SZ,深科技,电子,一级行业
000153.SZ,丰原药业,医药生物,一级行业
000006.SZ,深振业A,房地产,一级行业
000029.SZ,深深房A,房地产,一级行业
000407.SZ,胜利股份,公用事业,一级行业
000422.SZ,湖北宜化,基础化工,一级行业
000030.SZ,富奥股份,汽车,一级行业
000070.SZ,特发信息,通信,一级行业
000425.SZ,徐工机械,机械设备,一级行业
688808.SH,联讯仪器,机械设备,一级行业
000001.SZ,平安银行,银行,一级行业
000419.SZ,通程控股,商贸零售,一级行业
688825.SH,长鑫科技,电子,一级行业
000156.SZ,华数传媒,传媒,一级行业
000026.SZ,飞亚达,纺织服饰,一级行业
000099.SZ,中信海直,交通运输,一级行业
000301.SZ,东方盛虹,石油石化,一级行业
000410.SZ,沈阳机床,机械设备,一级行业
000009.SZ,中国宝安,电力设备,一级行业
688819.SH,天能股份,电力设备,一级行业
000333.SZ,美的集团,家用电器,一级行业
000058.SZ,深赛格,商贸零售,一级行业
000050.SZ,深天马A,电子,一级行业
000404.SZ,长虹华意,家用电器,一级行业
000012.SZ,南玻A,建筑材料,一级行业
688807.SH,优迅股份,电子,一级行业
000017.SZ,深中华A,纺织服饰,一级行业
000042.SZ,中洲控股,房地产,一级行业
000065.SZ,北方国际,建筑装饰,一级行业
000090.SZ,天健集团,房地产,一级行业
000411.SZ,英特集团,医药生物,一级行业
000155.SZ,川能动力,公用事业,一级行业
000008.SZ,神州高铁,机械设备,一级行业
688816.SH,易思维,机械设备,一级行业
000078.SZ,ST海王,医药生物,一级行业
000059.SZ,华锦股份,石油石化,一级行业
000036.SZ,华联控股,房地产,一级行业
688835.SH,高凯技术,机械设备,一级行业
000045.SZ,深纺织A,电子,一级行业
000039.SZ,中集集团,机械设备,一级行业
000062.SZ,深圳华强,电子,一级行业
000158.SZ,常山北明,计算机,一级行业
000020.SZ,深华发A,电子,一级行业
000031.SZ,大悦城,房地产,一级行业
000056.SZ,*ST皇庭,房地产,一级行业
000028.SZ,国药一致,医药生物,一级行业
688813.SH,泰金新能,机械设备,一级行业
000014.SZ,沙河股份,房地产,一级行业
000402.SZ,金融街,房地产,一级行业
