Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
600171.SH,上海贝岭,电子,一级行业
600207.SH,安彩高科,电力设备,一级行业
600236.SH,桂冠电力,公用事业,一级行业
600259.SH,中稀有色,有色金属,一级行业
600165.SH,宁科生物,基础化工,一级行业
600251.SH,冠农股份,农林牧渔,一级行业
600156.SH,华升股份,纺织服饰,一级行业
600179.SH,安通控股,交通运输,一级行业
600185.SH,珠免集团,商贸零售,一级行业
600227.SH,赤天化,基础化工,一级行业
600265.SH,*ST景谷,农林牧渔,一级行业
600231.SH,凌钢股份,钢铁,一级行业
600168.SH,武汉控股,环保,一级行业
600199.SH,金种子酒,食品饮料,一级行业
600210.SH,紫江企业,轻工制造,一级行业
600180.SH,*ST瑞茂,交通运输,一级行业
600239.SH,ST云城,房地产,一级行业
600256.SH,广汇能源,石油石化,一级行业
600218.SH,全柴动力,汽车,一级行业
600188.SH,兖矿能源,煤炭,一级行业
600153.SH,建发股份,交通运输,一级行业
600191.SH,华资实业,农林牧渔,一级行业
600136.SH,ST明诚,房地产,一级行业
600262.SH,北方股份,机械设备,一级行业
600228.SH,返利科技,传媒,一级行业
600192.SH,长城电工,电力设备,一级行业
600201.SH,生物股份,农林牧渔,一级行业
600163.SH,中闽能源,公用事业,一级行业
600234.SH,科新发展,建筑装饰,一级行业
600257.SH,大湖股份,农林牧渔,一级行业
600158.SH,中体产业,社会服务,一级行业
600183.SH,生益科技,电子,一级行业
600135.SH,乐凯胶片,基础化工,一级行业
600215.SH,派斯林,机械设备,一级行业
600221.SH,海航控股,交通运输,一级行业
600177.SH,雅戈尔,纺织服饰,一级行业
600150.SH,中国船舶,国防军工,一级行业
600248.SH,陕建股份,建筑装饰,一级行业
600172.SH,黄河旋风,机械设备,一级行业
600206.SH,有研新材,电子,一级行业
600149.SH,廊坊发展,公用事业,一级行业
600197.SH,伊力特,食品饮料,一级行业
600212.SH,绿能慧充,电力设备,一级行业
600166.SH,福田汽车,汽车,一级行业
600237.SH,铜峰电子,电子,一级行业
600141.SH,兴发集团,基础化工,一级行业
600243.SH,*ST海华,机械设备,一级行业
600186.SH,莲花控股,食品饮料,一级行业
600138.SH,中青旅,社会服务,一级行业
600155.SH,华创云信,非银金融,一级行业
600226.SH,亨通股份,公用事业,一级行业
600268.SH,国电南自,电力设备,一级行业
600232.SH,金鹰股份,机械设备,一级行业
600198.SH,大唐电信,通信,一级行业
600203.SH,福日电子,电子,一级行业
600169.SH,ST太重,机械设备,一级行业
600161.SH,天坛生物,医药生物,一级行业
600255.SH,鑫科材料,有色金属,一级行业
600217.SH,中再资环,环保,一级行业
600152.SH,维科技术,电力设备,一级行业
600261.SH,阳光照明,家用电器,一级行业
600223.SH,福瑞达,美容护理,一级行业
600137.SH,浪莎股份,纺织服饰,一级行业
600246.SH,万通发展,房地产,一级行业
600195.SH,中牧股份,农林牧渔,一级行业
600229.SH,城市传媒,传媒,一级行业
600170.SH,上海建工,建筑装饰,一级行业
600189.SH,泉阳泉,食品饮料,一级行业
600235.SH,民丰特纸,轻工制造,一级行业
600143.SH,金发科技,基础化工,一级行业
600252.SH,中恒集团,医药生物,一级行业
600266.SH,城建发展,房地产,一级行业
600184.SH,光电股份,国防军工,一级行业
600157.SH,永泰能源,公用事业,一级行业
600241.SH,时代万恒,电力设备,一级行业
600178.SH,东安动力,汽车,一级行业
600249.SH,两面针,美容护理,一级行业
600230.SH,沧州大化,基础化工,一级行业
600148.SH,长春一东,汽车,一级行业
600173.SH,卧龙新能,房地产,一级行业
600167.SH,联美控股,公用事业,一级行业
600196.SH,复星医药,医药生物,一级行业
600211.SH,西藏药业,医药生物,一级行业
600238.SH,ST椰岛,食品饮料,一级行业
600160.SH,巨化股份,基础化工,一级行业
600267.SH,海正药业,医药生物,一级行业
600187.SH,*ST国中,环保,一级行业
600208.SH,衢州发展,房地产,一级行业
600202.SH,哈空调,机械设备,一级行业
600250.SH,南京商旅,社会服务,一级行业
600162.SH,香江控股,房地产,一级行业
600233.SH,圆通速递,交通运输,一级行业
600219.SH,南山铝业,有色金属,一级行业
600258.SH,首旅酒店,社会服务,一级行业
600159.SH,大龙地产,房地产,一级行业
600182.SH,S佳通,汽车,一级行业
600216.SH,浙江医药,医药生物,一级行业
600176.SH,中国巨石,建筑材料,一级行业
600222.SH,太龙药业,医药生物,一级行业
600151.SH,航天机电,汽车,一级行业
