Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
603099.SH,长白山,社会服务,一级行业
603110.SH,东方材料,基础化工,一级行业
603076.SH,乐惠国际,机械设备,一级行业
603082.SH,北自科技,机械设备,一级行业
603118.SH,共进股份,通信,一级行业
603038.SH,华立股份,建筑材料,一级行业
603101.SH,汇嘉时代,商贸零售,一级行业
603124.SH,江南新材,有色金属,一级行业
603030.SH,全筑股份,建筑装饰,一级行业
603091.SH,众鑫股份,轻工制造,一级行业
603053.SH,成都燃气,公用事业,一级行业
603109.SH,神驰机电,汽车,一级行业
603136.SH,天目湖,社会服务,一级行业
603079.SH,圣达生物,基础化工,一级行业
603096.SH,新经典,传媒,一级行业
603153.SH,上海建科,建筑装饰,一级行业
603115.SH,海星股份,电子,一级行业
603065.SH,宿迁联盛,基础化工,一级行业
603085.SH,天成自控,汽车,一级行业
603121.SH,华培动力,汽车,一级行业
603033.SH,三维股份,基础化工,一级行业
603058.SH,永吉股份,轻工制造,一级行业
603129.SH,春风动力,汽车,一级行业
603050.SH,科林电气,电力设备,一级行业
603071.SH,物产环能,公用事业,一级行业
603049.SH,中策橡胶,汽车,一级行业
603097.SH,江苏华辰,电力设备,一级行业
603106.SH,恒银科技,计算机,一级行业
603131.SH,上海沪工,机械设备,一级行业
603112.SH,华翔股份,家用电器,一级行业
603139.SH,康惠股份,医药生物,一级行业
603068.SH,博通集成,电子,一级行业
603041.SH,美思德,基础化工,一级行业
603080.SH,新疆火炬,公用事业,一级行业
603061.SH,金海通,电子,一级行业
603088.SH,宁波精达,机械设备,一级行业
603103.SH,横店影视,传媒,一级行业
603032.SH,德新科技,电力设备,一级行业
603126.SH,中材节能,环保,一级行业
603055.SH,台华新材,纺织服饰,一级行业
603077.SH,和邦生物,基础化工,一级行业
603083.SH,剑桥科技,通信,一级行业
603117.SH,万林物流,交通运输,一级行业
603151.SH,邦基科技,农林牧渔,一级行业
603029.SH,天鹅股份,机械设备,一级行业
603123.SH,翠微股份,商贸零售,一级行业
603035.SH,常熟汽饰,汽车,一级行业
603052.SH,可川科技,电子,一级行业
603108.SH,润达医疗,医药生物,一级行业
603066.SH,音飞储存,交通运输,一级行业
603137.SH,恒尚节能,建筑装饰,一级行业
603043.SH,广州酒家,食品饮料,一级行业
603063.SH,禾望电气,电力设备,一级行业
603086.SH,先达股份,基础化工,一级行业
603120.SH,肯特催化,基础化工,一级行业
603057.SH,紫燕食品,食品饮料,一级行业
603128.SH,华贸物流,交通运输,一级行业
603095.SH,越剑智能,机械设备,一级行业
603072.SH,天和磁材,有色金属,一级行业
603075.SH,热威股份,家用电器,一级行业
603132.SH,金徽股份,有色金属,一级行业
603105.SH,芯能科技,公用事业,一级行业
603111.SH,康尼机电,机械设备,一级行业
603069.SH,海汽集团,交通运输,一级行业
603081.SH,大丰实业,机械设备,一级行业
603048.SH,浙江黎明,汽车,一级行业
603060.SH,国检集团,社会服务,一级行业
603040.SH,新坐标,汽车,一级行业
603119.SH,浙江荣泰,汽车,一级行业
603125.SH,常青科技,基础化工,一级行业
603089.SH,正裕工业,汽车,一级行业
603100.SH,川仪股份,机械设备,一级行业
603092.SH,德力佳,电力设备,一级行业
603037.SH,凯众股份,汽车,一级行业
603051.SH,鹿山新材,基础化工,一级行业
603135.SH,中重科技,机械设备,一级行业
603078.SH,江化微,电子,一级行业
603045.SH,福达合金,有色金属,一级行业
603116.SH,红蜻蜓,纺织服饰,一级行业
603122.SH,合富中国,医药生物,一级行业
603150.SH,万朗磁塑,基础化工,一级行业
603070.SH,万控智造,电力设备,一级行业
603059.SH,倍加洁,美容护理,一级行业
603093.SH,南华期货,非银金融,一级行业
603036.SH,如通股份,机械设备,一级行业
603113.SH,金能科技,基础化工,一级行业
603107.SH,上海汽配,汽车,一级行业
603098.SH,森特股份,建筑装饰,一级行业
603130.SH,云中马,纺织服饰,一级行业
603067.SH,振华股份,基础化工,一级行业
603042.SH,华脉科技,通信,一级行业
603138.SH,海量数据,计算机,一级行业
603062.SH,麦加芯彩,基础化工,一级行业
603087.SH,甘李药业,医药生物,一级行业
603039.SH,泛微网络,计算机,一级行业
603102.SH,百合股份,食品饮料,一级行业
603127.SH,昭衍新药,医药生物,一级行业
603031.SH,安孚科技,电力设备,一级行业
603073.SH,彩蝶实业,基础化工,一级行业
603090.SH,宏盛股份,机械设备,一级行业
