Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
300357.SZ,我武生物,医药生物,一级行业
300338.SZ,*ST开元,社会服务,一级行业
300363.SZ,博腾股份,医药生物,一级行业
300334.SZ,津膜科技,环保,一级行业
300328.SZ,宜安科技,有色金属,一级行业
300347.SZ,泰格医药,医药生物,一级行业
300320.SZ,海达股份,基础化工,一级行业
300324.SZ,旋极信息,计算机,一级行业
300343.SZ,联创股份,基础化工,一级行业
300353.SZ,东土科技,通信,一级行业
300376.SZ,易事特,电力设备,一级行业
300331.SZ,苏大维格,电子,一级行业
300329.SZ,海伦钢琴,轻工制造,一级行业
300335.SZ,迪森股份,公用事业,一级行业
300366.SZ,ST创意,计算机,一级行业
300346.SZ,南大光电,电子,一级行业
300321.SZ,同大股份,基础化工,一级行业
300373.SZ,扬杰科技,电子,一级行业
300342.SZ,天银机电,家用电器,一级行业
300352.SZ,ST信源,计算机,一级行业
300377.SZ,赢时胜,计算机,一级行业
300339.SZ,润和软件,计算机,一级行业
300359.SZ,全通教育,社会服务,一级行业
300332.SZ,天壕能源,公用事业,一级行业
300355.SZ,蒙草生态,建筑装饰,一级行业
300380.SZ,安硕信息,计算机,一级行业
300365.SZ,恒华科技,计算机,一级行业
300322.SZ,硕贝德,电子,一级行业
300349.SZ,金卡智能,机械设备,一级行业
300374.SZ,中铁装配,建筑材料,一级行业
300345.SZ,华民股份,电力设备,一级行业
300326.SZ,ST凯利,医药生物,一级行业
300351.SZ,永贵电器,机械设备,一级行业
300341.SZ,麦克奥迪,医药生物,一级行业
300378.SZ,鼎捷数智,计算机,一级行业
300358.SZ,楚天科技,医药生物,一级行业
300337.SZ,银邦股份,有色金属,一级行业
300333.SZ,兆日科技,计算机,一级行业
300354.SZ,东华测试,机械设备,一级行业
300360.SZ,炬华科技,电力设备,一级行业
300364.SZ,中文在线,传媒,一级行业
300368.SZ,汇金股份,计算机,一级行业
300323.SZ,华灿光电,电子,一级行业
300371.SZ,汇中股份,机械设备,一级行业
300348.SZ,长亮科技,计算机,一级行业
300369.SZ,绿盟科技,计算机,一级行业
300350.SZ,华鹏飞,交通运输,一级行业
300327.SZ,中颖电子,电子,一级行业
300340.SZ,科恒股份,电力设备,一级行业
300375.SZ,鹏翎股份,汽车,一级行业
