Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
300443.SZ,金雷股份,电力设备,一级行业
300466.SZ,赛摩智能,机械设备,一级行业
300447.SZ,全信股份,国防军工,一级行业
300462.SZ,ST华铭,计算机,一级行业
300479.SZ,神思电子,计算机,一级行业
300452.SZ,山河药辅,医药生物,一级行业
300456.SZ,赛微电子,电子,一级行业
300481.SZ,濮阳惠成,电子,一级行业
300475.SZ,香农芯创,电子,一级行业
300485.SZ,赛升药业,医药生物,一级行业
300437.SZ,清水源,环保,一级行业
300469.SZ,信息发展,计算机,一级行业
300438.SZ,鹏辉能源,电力设备,一级行业
300471.SZ,厚普股份,机械设备,一级行业
300465.SZ,高伟达,计算机,一级行业
300486.SZ,东杰智能,机械设备,一级行业
300448.SZ,浩云科技,计算机,一级行业
300461.SZ,田中精机,机械设备,一级行业
300440.SZ,运达科技,计算机,一级行业
300455.SZ,航天智装,计算机,一级行业
300476.SZ,胜宏科技,电子,一级行业
300482.SZ,万孚生物,医药生物,一级行业
300459.SZ,汤姆猫,传媒,一级行业
300472.SZ,ST新元,机械设备,一级行业
300434.SZ,金石亚药,医药生物,一级行业
300451.SZ,创业慧康,计算机,一级行业
300441.SZ,鲍斯股份,机械设备,一级行业
300439.SZ,美康生物,医药生物,一级行业
300464.SZ,星徽股份,商贸零售,一级行业
300470.SZ,中密控股,机械设备,一级行业
300468.SZ,四方精创,计算机,一级行业
300460.SZ,ST惠伦,电子,一级行业
300454.SZ,深信服,计算机,一级行业
300449.SZ,汉邦高科,计算机,一级行业
300458.SZ,全志科技,电子,一级行业
300483.SZ,首华燃气,公用事业,一级行业
300473.SZ,德尔股份,汽车,一级行业
300450.SZ,先导智能,电力设备,一级行业
300435.SZ,中泰股份,机械设备,一级行业
300442.SZ,润泽科技,通信,一级行业
300446.SZ,航天智造,汽车,一级行业
300463.SZ,迈克生物,医药生物,一级行业
300467.SZ,迅游科技,传媒,一级行业
300478.SZ,杭州高新,基础化工,一级行业
300480.SZ,光力科技,机械设备,一级行业
300453.SZ,三鑫医疗,医药生物,一级行业
300457.SZ,赢合科技,电力设备,一级行业
300474.SZ,景嘉微,国防军工,一级行业
300484.SZ,蓝海华腾,机械设备,一级行业
300436.SZ,广生堂,医药生物,一级行业
