Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
688578.SH,艾力斯,医药生物,一级行业
688584.SH,上海合晶,电子,一级行业
688561.SH,奇安信-U,计算机,一级行业
688549.SH,中巨芯-U,电子,一级行业
688606.SH,奥泰生物,医药生物,一级行业
688603.SH,天承科技,电子,一级行业
688569.SH,铁科轨道,机械设备,一级行业
688629.SH,华丰科技,国防军工,一级行业
688523.SH,航天环宇,国防军工,一级行业
688590.SH,新致软件,计算机,一级行业
688575.SH,亚辉龙,医药生物,一级行业
688598.SH,金博股份,基础化工,一级行业
688581.SH,安杰思,医药生物,一级行业
688558.SH,国盛智科,机械设备,一级行业
688529.SH,豪森智能,机械设备,一级行业
688550.SH,瑞联新材,电子,一级行业
688512.SH,慧智微-U,电子,一级行业
688589.SH,力合微,电子,一级行业
688600.SH,皖仪科技,机械设备,一级行业
688621.SH,阳光诺和,医药生物,一级行业
688595.SH,芯海科技,电子,一级行业
688543.SH,国科军工,国防军工,一级行业
688570.SH,天玛智控,机械设备,一级行业
688526.SH,科前生物,农林牧渔,一级行业
688618.SH,三旺通信,通信,一级行业
688582.SH,芯动联科,电子,一级行业
688528.SH,秦川物联,机械设备,一级行业
688553.SH,汇宇制药-W,医药生物,一级行业
688608.SH,恒玄科技,电子,一级行业
688511.SH,天微电子,国防军工,一级行业
688627.SH,精智达,机械设备,一级行业
688567.SH,孚能科技,电力设备,一级行业
688548.SH,广钢气体,电子,一级行业
688573.SH,信宇人,电力设备,一级行业
688525.SH,佰维存储,电子,一级行业
688596.SH,正帆科技,机械设备,一级行业
688611.SH,杭州柯林,电力设备,一级行业
688630.SH,芯碁微装,机械设备,一级行业
688556.SH,高测股份,电力设备,一级行业
688531.SH,日联科技,机械设备,一级行业
688562.SH,航天软件,计算机,一级行业
688602.SH,康鹏科技,基础化工,一级行业
688605.SH,先锋精科,电子,一级行业
688520.SH,神州细胞,医药生物,一级行业
688593.SH,新相微,电子,一级行业
688517.SH,金冠电气,电力设备,一级行业
688545.SH,兴福电子,电子,一级行业
688633.SH,星球石墨,机械设备,一级行业
688576.SH,西山科技,医药生物,一级行业
688616.SH,西力科技,电力设备,一级行业
688559.SH,海目星,机械设备,一级行业
688580.SH,伟思医疗,医药生物,一级行业
688536.SH,思瑞浦,电子,一级行业
688551.SH,科威尔,电力设备,一级行业
688622.SH,*ST禾信,机械设备,一级行业
688588.SH,凌志软件,计算机,一级行业
688513.SH,苑东生物,医药生物,一级行业
688516.SH,奥特维,电力设备,一级行业
688565.SH,力源科技,环保,一级行业
688539.SH,高华科技,电子,一级行业
688571.SH,杭华股份,基础化工,一级行业
688619.SH,罗普特,计算机,一级行业
688613.SH,奥精医疗,医药生物,一级行业
688533.SH,上声电子,汽车,一级行业
688579.SH,地纬智能,计算机,一级行业
688560.SH,明冠新材,电力设备,一级行业
688585.SH,上纬新材,基础化工,一级行业
688625.SH,呈和科技,基础化工,一级行业
688607.SH,康众科技,医药生物,一级行业
688519.SH,南亚新材,电子,一级行业
688568.SH,中科星图,计算机,一级行业
688522.SH,纳睿雷达,国防军工,一级行业
688628.SH,优利德,机械设备,一级行业
688591.SH,泰凌微,电子,一级行业
688599.SH,天合光能,电力设备,一级行业
688610.SH,埃科光电,机械设备,一级行业
688631.SH,莱斯信息,计算机,一级行业
688557.SH,兰剑智能,机械设备,一级行业
688530.SH,欧莱新材,电子,一级行业
688563.SH,航材股份,国防军工,一级行业
688515.SH,裕太微-U,电子,一级行业
688586.SH,江航装备,国防军工,一级行业
688601.SH,力芯微,电子,一级行业
688620.SH,安凯微,电子,一级行业
688592.SH,司南导航,通信,一级行业
688521.SH,芯原股份,电子,一级行业
688518.SH,联赢激光,机械设备,一级行业
688577.SH,浙海德曼,机械设备,一级行业
688617.SH,惠泰医疗,医药生物,一级行业
688615.SH,合合信息,计算机,一级行业
688535.SH,华海诚科,电子,一级行业
688583.SH,思看科技,机械设备,一级行业
688552.SH,航天南湖,国防军工,一级行业
688609.SH,九联科技,家用电器,一级行业
688623.SH,双元科技,机械设备,一级行业
688626.SH,翔宇医疗,医药生物,一级行业
688566.SH,吉贝尔,医药生物,一级行业
688538.SH,和辉光电-U,电子,一级行业
688597.SH,煜邦电力,电力设备,一级行业
688612.SH,威迈斯,汽车,一级行业
