Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002192.SZ,融捷股份,有色金属,一级行业
002193.SZ,ST如意,纺织服饰,一级行业
002202.SZ,金风科技,电力设备,一级行业
002191.SZ,劲嘉股份,轻工制造,一级行业
002190.SZ,成飞集成,汽车,一级行业
002195.SZ,岩山科技,计算机,一级行业
002187.SZ,广百股份,商贸零售,一级行业
002194.SZ,武汉凡谷,通信,一级行业
002201.SZ,九鼎新材,建筑材料,一级行业
002188.SZ,中天服务,房地产,一级行业
002189.SZ,中光学,国防军工,一级行业
002196.SZ,方正电机,电力设备,一级行业
002197.SZ,证通电子,计算机,一级行业
002200.SZ,交投生态,建筑装饰,一级行业
002186.SZ,全聚德,社会服务,一级行业
002198.SZ,ST嘉应,医药生物,一级行业
002185.SZ,华天科技,电子,一级行业
002183.SZ,怡亚通,商贸零售,一级行业
002184.SZ,海得控制,机械设备,一级行业
002199.SZ,东晶电子,电子,一级行业
