Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
301031.SZ,中熔电气,电子,一级行业
301012.SZ,扬电科技,电力设备,一级行业
301050.SZ,雷电微力,国防军工,一级行业
301035.SZ,润丰股份,基础化工,一级行业
301039.SZ,中集车辆,汽车,一级行业
301058.SZ,中粮科工,建筑装饰,一级行业
301019.SZ,宁波色母,基础化工,一级行业
301021.SZ,英诺激光,机械设备,一级行业
301063.SZ,海锅股份,机械设备,一级行业
301040.SZ,中环海陆,电力设备,一级行业
301025.SZ,读客文化,传媒,一级行业
301029.SZ,怡合达,机械设备,一级行业
301048.SZ,金鹰重工,机械设备,一级行业
301032.SZ,新柴股份,机械设备,一级行业
301011.SZ,华立科技,轻工制造,一级行业
301015.SZ,百洋医药,医药生物,一级行业
301036.SZ,双乐股份,基础化工,一级行业
301053.SZ,远信工业,机械设备,一级行业
301057.SZ,汇隆新材,基础化工,一级行业
301043.SZ,绿岛风,机械设备,一级行业
301016.SZ,雷尔伟,机械设备,一级行业
301022.SZ,海泰科,汽车,一级行业
301026.SZ,浩通科技,有色金属,一级行业
301047.SZ,义翘神州,医药生物,一级行业
301060.SZ,兰卫医学,医药生物,一级行业
301056.SZ,森赫股份,机械设备,一级行业
301033.SZ,迈普医学,医药生物,一级行业
301037.SZ,保立佳,基础化工,一级行业
301052.SZ,果麦文化,传媒,一级行业
301017.SZ,漱玉平民,医药生物,一级行业
301042.SZ,安联锐视,计算机,一级行业
301023.SZ,奕帆传动,电力设备,一级行业
301027.SZ,华蓝集团,建筑装饰,一级行业
301061.SZ,匠心家居,轻工制造,一级行业
301065.SZ,本立科技,医药生物,一级行业
301046.SZ,能辉科技,建筑装饰,一级行业
301055.SZ,张小泉,轻工制造,一级行业
301030.SZ,*ST仕净,电力设备,一级行业
301013.SZ,利和兴,机械设备,一级行业
301038.SZ,深水规院,建筑装饰,一级行业
301051.SZ,信濠光电,电子,一级行业
301059.SZ,金三江,基础化工,一级行业
301020.SZ,密封科技,汽车,一级行业
301045.SZ,天禄科技,电子,一级行业
301018.SZ,申菱环境,机械设备,一级行业
301041.SZ,金百泽,电子,一级行业
301062.SZ,上海艾录,轻工制造,一级行业
301024.SZ,霍普股份,建筑装饰,一级行业
301028.SZ,鼎熔岩,机械设备,一级行业
301049.SZ,超越科技,环保,一级行业
