Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
002716.SZ,湖南白银,有色金属,一级行业
002717.SZ,*ST岭南,建筑装饰,一级行业
002719.SZ,ST麦趣,食品饮料,一级行业
002718.SZ,友邦吊顶,建筑材料,一级行业
002712.SZ,思美传媒,传媒,一级行业
002715.SZ,登云股份,汽车,一级行业
002713.SZ,东易日盛,建筑装饰,一级行业
002714.SZ,牧原股份,农林牧渔,一级行业
002721.SZ,金一文化,纺织服饰,一级行业
002722.SZ,物产金轮,机械设备,一级行业
002700.SZ,万憬能源,公用事业,一级行业
002707.SZ,众信旅游,社会服务,一级行业
002701.SZ,奥瑞金,轻工制造,一级行业
002702.SZ,海欣食品,食品饮料,一级行业
002708.SZ,光洋股份,汽车,一级行业
002703.SZ,浙江世宝,汽车,一级行业
002705.SZ,新宝股份,家用电器,一级行业
002706.SZ,良信股份,电力设备,一级行业
002723.SZ,小崧股份,家用电器,一级行业
002709.SZ,天赐材料,电力设备,一级行业
