Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002059.SZ,云南旅游,社会服务,一级行业
002060.SZ,广东建工,建筑装饰,一级行业
002061.SZ,浙江交科,建筑装饰,一级行业
002057.SZ,中钢天源,社会服务,一级行业
002063.SZ,远光软件,计算机,一级行业
002055.SZ,ST得润,电子,一级行业
002058.SZ,紫竹高科,电力设备,一级行业
002062.SZ,宏润建设,建筑装饰,一级行业
002056.SZ,横店东磁,电力设备,一级行业
002064.SZ,华峰化学,基础化工,一级行业
002065.SZ,东华软件,计算机,一级行业
002054.SZ,德美化工,基础化工,一级行业
002066.SZ,瑞泰科技,建筑材料,一级行业
002069.SZ,獐子岛,农林牧渔,一级行业
002075.SZ,沙钢股份,钢铁,一级行业
002068.SZ,黑猫股份,基础化工,一级行业
002067.SZ,景兴纸业,轻工制造,一级行业
002074.SZ,国轩高科,电力设备,一级行业
002072.SZ,凯瑞德,商贸零售,一级行业
002073.SZ,软控股份,机械设备,一级行业
